day,symbol,contract_address,deposits_volume,borrows_volume
2023-02-13,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,17766.146520961,0.0
2023-01-31,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,28805.759884212388,0.0
2023-04-07,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,1.0431750000000002,0.0
2023-06-25,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,26503.02364214334,0.0
2023-04-11,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,386320.74289811915,0.0
2023-02-10,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,1392761.0631034363,0.0
2023-05-14,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,10331.84027777776,0.0
2023-02-26,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,472309.1910319962,0.0
2023-06-10,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,22783.64583333332,0.0
2023-01-27,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,30.50044617093788,0.0
2023-03-16,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,18689.97037763381,0.0
2023-02-20,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,543662.4309244275,0.0
2023-06-20,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,5541.404291666662,0.0
2023-04-25,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,28186.807208829094,0.0
2023-02-18,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,243941.37160948635,0.0
2023-03-09,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,7701.3284442572285,0.0
2023-04-27,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,1013896.923996892,0.0
2023-04-01,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,42955.8662870333,0.0
2023-02-17,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,57305.33681039399,0.0
2023-03-01,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,259605.88273647387,0.0
2023-04-12,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.22827676027327098,0.0
2023-06-11,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,382.10795195201865,0.0
2023-04-03,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,139144.5836441902,0.0
2023-05-23,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.20586736111111226,0.0
2023-06-15,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,269475.7083211503,0.0
2023-03-17,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,14302.984729168667,0.0
2023-01-23,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,14146.481148761342,0.0
2023-02-14,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,866065.4873933105,0.0
2023-06-22,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.00832722222222227,0.0
2023-02-21,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,568583.2059988513,0.0
2023-04-21,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,21456.806109103643,0.0
2023-02-01,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,13352.775508389077,0.0
2023-03-04,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,98187.64259905156,0.0
2023-06-06,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,111903.5832636121,0.0
2023-02-11,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,519716.5788055585,0.0
2023-04-28,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,18212.604166666657,0.0
2023-06-27,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,31291.44644315358,0.0
2023-03-06,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,276256.36539871676,0.0
2023-05-31,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,198685.18060711893,0.0
2023-01-25,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,167480.9125523631,0.0
2023-03-11,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,12072.847222222239,0.0
2023-03-12,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,502297.7638830207,0.0
2023-03-13,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,304790.6919262789,0.0
2023-03-10,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,365970.8333333337,0.0
2023-02-06,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,155775.1671621008,0.0
2023-02-03,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,120441.37849592534,0.0
2023-02-28,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,279827.3478745558,0.0
2023-03-07,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,13870.590277777781,0.0
2023-04-06,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,11940.12112407194,0.0
2023-05-22,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,88106.5252083326,0.0
2023-02-23,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,34181.51893333337,0.0
2023-03-05,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.280443750000001,0.0
2023-02-25,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.10675947916666621,0.0
2023-05-15,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,17749.32970813957,0.0
2023-05-25,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,117537.34702295648,0.0
2023-03-14,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,588988.0061915835,0.0
2023-06-12,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,16026.513299590153,0.0
2023-01-22,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,382996.3001353862,0.0
2023-04-23,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,57008.594006996726,0.0
2023-03-22,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,3368.299709955826,0.0
2023-03-02,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,644132.7161957204,0.0
2023-05-26,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,8164.7555036019885,0.0
2023-05-16,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,23236.060579680394,0.0
2023-03-03,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,71591.27603732124,0.0
2023-04-13,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,9462.843893548321,0.0
2023-04-10,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,26997.008551757663,0.0
2023-01-26,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,760443.0287361705,0.0
2023-04-17,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,40315.226657371,0.0
2023-03-26,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,13.743961174397686,0.0
2023-02-07,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,20983.50718426864,0.0
2023-05-12,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,3039.4387900585534,0.0
2023-04-16,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.02455001909819944,0.0
2023-03-23,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,11051.124977984118,0.0
2023-06-26,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,589329.571454361,0.0
2023-04-08,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.012981840277777802,0.0
