Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0006102301352550638,NA,NA,NA
R-squared,0.8505529576824085,NA,NA,NA
Coefficient (price_eth),0.0007157545242927448,4.251755081308746e-68,0.0006577417290080403,0.0007737673195774493
Coefficient (market_cap_eth_volume),8.414322535401822e-12,2.1756002552911012e-06,4.996425695206791e-12,1.1832219375596853e-11
Coefficient (volumes_last_24h_eth_volume),-1.3295470855814338e-12,0.721651420145538,-8.671178698469615e-12,6.012084527306747e-12
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows),-3.300853302421626e-11,0.2008062464932478,-8.369193022325072e-11,1.7674864174818204e-11
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows),7.623571324072663e-11,0.27097476224186784,-5.985305087856062e-11,2.1232447736001389e-10
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows),2.5019883032668566e-11,0.8640594378271187,-2.6248653583927793e-10,3.1252630190461507e-10
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows),-8.220661493377172e-11,0.7300860029486069,-5.509378876491524e-10,3.8652465778160887e-10
Coefficient (moving_average_7_price_eth),-1.2633671034080772e-05,0.823801916225648,-0.00012426136439049352,9.899402232233198e-05
Coefficient (moving_average_14_price_eth),-0.0008713438433551766,6.1156563683963e-18,-0.0010555312857757136,-0.0006871564009346397
Coefficient (moving_average_21_price_eth),0.00021064501076179076,0.0739391450533731,-2.053828482928704e-05,0.00044182830635286854
Coefficient (moving_average_30_price_eth),-3.708218044055645e-05,0.6117407205725215,-0.0001807775122206897,0.0001066131513395768
Coefficient (moving_average_7_volume_eth),2.505366976055958e-11,0.017302198349760326,4.460868842939951e-12,4.564647067817921e-11
Coefficient (moving_average_14_volume_eth),-1.4505736431783993e-11,0.484559741306832,-5.5315272583303276e-11,2.630379971973529e-11
Coefficient (moving_average_21_volume_eth),1.2268061504790674e-11,0.6886586805440936,-4.7962240110778104e-11,7.249836312035946e-11
Coefficient (moving_average_30_volume_eth),-2.493905457461252e-11,0.2886059649284223,-7.11246128793485e-11,2.1246503730123455e-11
Coefficient (moving_average_7_mc_eth),6.636311958309421e-14,9.538107687152462e-06,3.744298019726965e-14,9.528325896891877e-14
Coefficient (moving_average_14_mc_eth),3.0101037275642044e-14,1.350197005721638e-07,1.917507658631873e-14,4.1026997964965356e-14
Coefficient (moving_average_21_mc_eth),1.6923838616826295e-14,4.746294876616188e-06,9.797264000897905e-15,2.4050413232754682e-14
Coefficient (moving_average_30_mc_eth),-9.232492978073948e-15,1.9986897620367546e-05,-1.341495023693096e-14,-5.050035719216936e-15
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_7),-2.8100290537621154e-10,0.010664990045001994,-4.961173698990908e-10,-6.588844085333223e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_14),-9.076926940227274e-10,0.010596514900006293,-1.6019356630322756e-09,-2.134497250131791e-10
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_21),2.523655960260935e-09,0.0010432213537775194,1.0253318856815067e-09,4.021980034840363e-09
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_30),-1.1203829411686363e-09,0.24256688527312936,-3.0041043143792633e-09,7.633384320419907e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_7),-6.683691863018792e-10,0.020614802983239724,-1.2333915066999827e-09,-1.0334686590377563e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_14),1.255365851628974e-09,0.02184667014601453,1.8384840486418787e-10,2.32688329839376e-09
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_21),-2.082173480349245e-09,0.006188223447818794,-3.5674689336442657e-09,-5.968780270542244e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_30),1.9454871444315256e-09,0.022718082634025676,2.7395712225625914e-10,3.6170171666067922e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_7),-1.2359338835186433e-10,0.8047419728920643,-1.1071421507808666e-09,8.599553740771379e-10
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_14),4.904138619572055e-10,0.6217457862725382,-1.4647361240981228e-09,2.445563848012534e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_21),-9.679014236743862e-10,0.480537640161401,-3.6660117713796716e-09,1.7302089240308994e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_30),8.972953931876893e-10,0.3478820198299316,-9.817128222874537e-10,2.776303608662832e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_7),2.4375206322317273e-09,0.04807473901873691,2.0804465573942687e-11,4.854236798889512e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_14),-3.6183689833413074e-09,0.2084158273911609,-9.268728435865059e-09,2.0319904691824444e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_21),-5.711126435708381e-09,0.19845394215732826,-1.4434441004157953e-08,3.012188132741191e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_30),3.793591216605298e-09,0.4505782227335051,-6.093669588079658e-09,1.3680852021290254e-08
