Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0005930802546587053,NA,NA,NA
R-squared,0.8547530107167516,NA,NA,NA
Coefficient (price_eth),0.000713890048351651,1.957509003941212e-74,0.0006589312264431099,0.0007688488702601922
Coefficient (market_cap_eth_volume),-2.802216257912523e-09,0.6024335913064855,-1.3380514022243073e-08,7.776081506418027e-09
Coefficient (volumes_last_24h_eth_volume),-4.0806818045971885e-12,0.26441615438696486,-1.1264358953639862e-11,3.1029953444454844e-12
Coefficient (moving_average_7_price_eth),-6.716150156080068e-05,0.2259714108800791,-0.00017611549592238418,4.17924928007828e-05
Coefficient (moving_average_14_price_eth),-0.0008588273839614707,1.361539949444696e-19,-0.0010315317002664226,-0.0006861230676565189
Coefficient (moving_average_21_price_eth),0.00020890030920034906,0.052479953456601044,-2.2551846156724923e-06,0.00042005580301637065
Coefficient (moving_average_30_price_eth),-3.5399573546911493e-06,0.9579547185082125,-0.0001356082499048838,0.0001285283351955015
Coefficient (moving_average_7_volume_eth),2.272960705401188e-11,0.01703808653641426,4.089383043379262e-12,4.1369831064644495e-11
Coefficient (moving_average_14_volume_eth),-2.2708166714376615e-11,0.19975526040461714,-5.748855474650075e-11,1.2072221317747518e-11
Coefficient (moving_average_21_volume_eth),1.1833583807842684e-11,0.6106456535750115,-3.386950169658981e-11,5.753666931227518e-11
Coefficient (moving_average_30_volume_eth),-5.21685151465415e-12,0.7229167194974846,-3.415325271597594e-11,2.3719549686667644e-11
Coefficient (moving_average_7_mc_eth),0.0,,0.0,0.0
Coefficient (moving_average_14_mc_eth),0.0,,0.0,0.0
Coefficient (moving_average_21_mc_eth),0.0,,0.0,0.0
Coefficient (moving_average_30_mc_eth),0.0,,0.0,0.0
