Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.004293737817320414,NA,NA,NA
R-squared,-0.05154822781329038,NA,NA,NA
Coefficient (avg_stableBorrowRate_eth_rates),5.785739372702722,0.2609982077535643,-4.326692353578591,15.898171098984037
Coefficient (avg_variableBorrowRate_eth_rates),0.42687832559829353,0.8892353378473358,-5.601674057913337,6.455430709109924
Coefficient (avg_supplyRate_eth_rates),-5.142602055917273,0.40862721388401146,-17.37599443253483,7.090790320700286
Coefficient (avg_liquidityIndex_eth_rates),101.94682542137862,2.697276178835513e-05,54.94725363148504,148.9463972112722
Coefficient (avg_variableBorrowIndex_eth_rates),-40.78060360782568,0.0003345829088502545,-62.87920578598082,-18.682001429670542
Coefficient (avg_stableBorrowRate_usdc_rates),-2.329329919126775,0.47353896433684184,-8.718567641605135,4.059907803351585
Coefficient (avg_variableBorrowRate_usdc_rates),6.024762914183943,0.4731277354690887,-10.485498754893325,22.535024583261208
Coefficient (avg_supplyRate_usdc_rates),-4.153264673422173,0.5294284432346998,-17.138359735639412,8.831830388795066
Coefficient (avg_liquidityIndex_usdc_rates),48.18531474500798,0.16571454968009172,-20.069380649021973,116.44001013903792
Coefficient (avg_variableBorrowIndex_usdc_rates),-48.9871722453668,0.11316999078325539,-109.67174589570165,11.697401404968048
