Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.003272211956844182,NA,NA,NA
R-squared,0.19862627141116207,NA,NA,NA
Coefficient (price_eth),0.0003619861124564683,3.0803094446526193e-28,0.0003044707126773861,0.0004195015122355505
Coefficient (market_cap_eth_volume),-8.407880576888525e-11,0.021222415042916564,-1.555055891163579e-10,-1.2652022421412611e-11
Coefficient (volumes_last_24h_eth_volume),1.3785556873881695e-11,0.01690920634541495,2.493712328896928e-12,2.5077401418866463e-11
Coefficient (avg_stableBorrowRate_eth_rates),17.453649871560536,2.6608530660545176e-05,9.414012878390885,25.493286864730187
Coefficient (avg_variableBorrowRate_eth_rates),-3.710948749906567,0.12354532336203812,-8.44012804173256,1.0182305419194249
Coefficient (avg_supplyRate_eth_rates),-12.605872732495946,0.009807783745018254,-22.14781122073743,-3.0639342442544617
Coefficient (avg_liquidityIndex_eth_rates),-39.6294082111948,0.06314900963929133,-81.4454946713509,2.1866782489613
Coefficient (avg_variableBorrowIndex_eth_rates),53.232264753522195,3.7664617350273317e-06,31.033679031353152,75.43085047569124
Coefficient (avg_stableBorrowRate_usdc_rates),-0.05329378912436811,0.9849341215932308,-5.6045027303523085,5.497915152103573
Coefficient (avg_variableBorrowRate_usdc_rates),2.5308798701084694,0.7156790223780598,-11.134519759875051,16.19627950009199
Coefficient (avg_supplyRate_usdc_rates),-3.324498929374439,0.530590372779124,-13.748138869053493,7.099141010304615
Coefficient (avg_liquidityIndex_usdc_rates),182.46324851367788,1.1636755215897496e-08,121.43603673819872,243.49046028915706
Coefficient (avg_variableBorrowIndex_usdc_rates),-169.62202909052024,3.393918934507738e-09,-224.25031696043135,-114.99374122060914
