date,price,market_cap,volumes_last_24h,token
2019-02-01,3438.36040274,0.0,20589.04040258867,WBTC
2019-02-02,3472.24330723,0.0,12576.72390618631,WBTC
2019-02-03,3461.05834065,0.0,1852.5260325523282,WBTC
2019-02-04,3468.16004049,0.0,7029.292884632813,WBTC
2019-02-05,3476.12786527,0.0,3544.645877019703,WBTC
2019-02-06,3486.40729788,0.0,137.037701444486,WBTC
2019-02-07,3425.86032413,0.0,1986.4525632717668,WBTC
2019-02-08,3387.76285128,0.0,412.9229633039552,WBTC
2019-02-09,3664.75656672,0.0,5990.464431482407,WBTC
2019-02-10,3683.61183908,0.0,549.2825529429768,WBTC
2019-02-11,3770.34020575,0.0,2432.1874232045807,WBTC
2019-02-12,3605.92334692,0.0,2276.2378146083825,WBTC
2019-02-13,3652.90148238,0.0,1050.8723969780606,WBTC
2019-02-14,3612.78887987,0.0,0.0,WBTC
2019-02-15,3605.52373062,0.0,888.0496889378346,WBTC
2019-02-16,3613.86244724,0.0,72.56917675320494,WBTC
2019-02-17,3652.05614909,0.0,951.9304206390802,WBTC
2019-02-18,3711.28981349,0.0,1643.705689655,WBTC
2019-02-19,3831.38497407,0.0,21196.039870852517,WBTC
2019-02-20,3909.70346879,0.0,861.121176332776,WBTC
2019-02-21,4002.91619184,0.0,1340.3093979633945,WBTC
2019-02-22,3957.40514213,0.0,1504.4135404611088,WBTC
2019-02-23,3977.99645144,0.0,2119.5043875118818,WBTC
2019-02-24,4123.69453847,0.0,5096.096380144949,WBTC
2019-02-25,3683.24755618,0.0,6762.53788216316,WBTC
2019-02-26,3789.03793547,0.0,7866.5654897157365,WBTC
2019-02-27,3853.00879244,0.0,4859.376158942243,WBTC
2019-02-28,3821.6442585,0.0,1818.3382580741227,WBTC
2019-03-01,3808.05053411,0.0,1443.4141094884253,WBTC
2019-03-02,3818.42935708,0.0,811.9045009419735,WBTC
2019-03-03,3834.80862093,0.0,1782.1122239723104,WBTC
2019-03-04,3767.09064737,0.0,13204.0737290656,WBTC
2019-03-05,3712.88560258,0.0,7663.0353863123355,WBTC
2019-03-06,3874.36719956,0.0,11832.392164014404,WBTC
2019-03-07,3873.73338019,0.0,4367.825295892116,WBTC
2019-03-08,3862.08760123,0.0,20878.094267899705,WBTC
2019-03-09,3840.7508947,0.0,4104.083955217388,WBTC
2019-03-10,3922.04126879,0.0,7715.021808127176,WBTC
2019-03-11,3927.71998894,0.0,0.0,WBTC
2019-03-12,3881.79255667,0.0,1003.9305408641732,WBTC
2019-03-13,3896.57408011,0.0,3.8965740801122566,WBTC
2019-03-14,3853.74755968,0.0,4646.375181890208,WBTC
2019-03-15,3878.89836758,0.0,2294.2949611480935,WBTC
2019-03-16,3924.4145215,0.0,1037.8236695242483,WBTC
2019-03-17,4008.97228237,0.0,1453.6360709170613,WBTC
2019-03-18,3947.33024204,0.0,9.07885955669491,WBTC
2019-03-19,3995.8316591,0.0,1606.1853519349975,WBTC
2019-03-20,4018.77744032,0.0,3598.2078399749257,WBTC
2019-03-21,4147.00100855,0.0,5939.238247237628,WBTC
2019-03-22,4018.77093015,0.0,36210.41297231034,WBTC
2019-03-23,4005.77244217,0.0,5119.177653572395,WBTC
2019-03-24,4005.22337032,0.0,56.18508878480472,WBTC
2019-03-25,3216.38685,0.0,660.8003450078705,WBTC
2019-03-26,3937.93892796,0.0,1405.9835013958302,WBTC
2019-03-27,3743.49547645,0.0,81.23385183901121,WBTC
2019-03-28,3855.94893306,0.0,146.07999276085394,WBTC
2019-03-29,4123.21540752,0.0,2136.0374752459525,WBTC
2019-03-30,3175.61089991,0.0,136.42424426015486,WBTC
2019-03-31,4114.9634328,0.0,7757.783022180205,WBTC
2019-04-01,4939.41237817,0.0,133.90746957212187,WBTC
2019-04-02,3139.17326605,0.0,86.04473922237945,WBTC
2019-04-03,4909.69843883,0.0,26941.516275294915,WBTC
2019-04-04,4934.87178751,0.0,71372.83260106876,WBTC
2019-04-05,4899.78359455,0.0,72295.70209955474,WBTC
2019-04-06,5032.47076388,0.0,7767.4387195016625,WBTC
2019-04-07,5050.79608482,0.0,16188.123692643478,WBTC
2019-04-08,5180.69303485,0.0,7658.352552618722,WBTC
2019-04-09,5262.09251083,0.0,16069.731987348243,WBTC
2019-04-10,5183.81473034,0.0,7013.243131105026,WBTC
2019-04-11,5315.33574948,0.0,9779.75407848774,WBTC
2019-04-12,5074.49021724,0.0,63401.72264964334,WBTC
2019-04-13,5080.52125786,0.0,23697.487166832856,WBTC
2019-04-14,5078.08319111,0.0,66.52288980348774,WBTC
2019-04-15,5153.22016789,0.0,7859.692631835071,WBTC
2019-04-16,5065.82843244,0.0,11014.437874450345,WBTC
2019-04-17,5180.36901069,0.0,1422.5393784625328,WBTC
2019-04-18,5214.08881928,0.0,8729.699020592161,WBTC
2019-04-19,5300.60779196,0.0,3698.1976412715085,WBTC
2019-04-20,5304.04288648,0.0,37827.67692995117,WBTC
2019-04-21,5324.89568311,0.0,6789.295104311422,WBTC
2019-04-22,5314.82613696,0.0,22341.058774866608,WBTC
2019-04-23,5390.23612897,0.0,40178.12102349094,WBTC
2019-04-24,5540.92911564,0.0,11157.463668223805,WBTC
2019-04-25,5477.06362578,0.0,21721.74264424157,WBTC
2019-04-26,5140.31183176,0.0,11779.508772140494,WBTC
2019-04-27,5288.31307189,0.0,12948.816636986443,WBTC
2019-04-28,5297.85127295,0.0,34972.95715010341,WBTC
2019-04-29,4945.65180326,0.0,20594.160134205402,WBTC
2019-04-30,5199.86320425,0.0,14705.163194316689,WBTC
2019-05-01,5318.80812296,0.0,21137.287767087324,WBTC
2019-05-02,5358.01026185,0.0,58846.194606947465,WBTC
2019-05-03,5464.74239111,0.0,27827.890195075175,WBTC
2019-05-04,5749.99320226,0.0,49266.327495765894,WBTC
2019-05-05,5825.75611825,0.0,81559.26382530462,WBTC
2019-05-06,5785.41645462,0.0,233514.10057865258,WBTC
2019-05-07,5666.94050185,0.0,107872.28546905765,WBTC
2019-05-08,5841.57773224,0.0,7552.254584644757,WBTC
2019-05-09,6100.59225465,0.0,10247.984371837596,WBTC
2019-05-10,6175.37814281,0.0,93006.60503036795,WBTC
2019-05-11,6349.64426046,0.0,71561.31470371714,WBTC
2019-05-12,7306.95280924,0.0,151480.55738604008,WBTC
2019-05-13,7080.46616636,0.0,52517.21819869735,WBTC
2019-05-14,7958.74095972,0.0,22528.636362004323,WBTC
2019-05-15,7914.16342865,0.0,156290.9100842289,WBTC
2019-05-16,8238.83086473,0.0,70827.91137369996,WBTC
2019-05-17,7859.03025246,0.0,75635.31298674157,WBTC
2019-05-18,7365.92207412,0.0,73026.42338334654,WBTC
2019-05-19,7267.59672491,0.0,60244.592659107715,WBTC
2019-05-20,8216.00938165,0.0,109438.09848940173,WBTC
2019-05-21,7974.74041179,0.0,16391.476050183963,WBTC
2019-05-22,7981.40522364,0.0,446100.6867778707,WBTC
2019-05-23,7635.51964461,0.0,1428410.2303134569,WBTC
2019-05-24,7839.83583646,0.0,1335384.388953168,WBTC
2019-05-25,8006.10881744,0.0,45624.26324846029,WBTC
2019-05-26,8004.4754721,0.0,40975.352959377284,WBTC
2019-05-27,8650.79636904,0.0,20675.395762132495,WBTC
2019-05-28,8839.16686509,0.0,27890.756363284065,WBTC
2019-05-29,8689.20586063,0.0,24399.22970128288,WBTC
2019-05-30,8654.49680131,0.0,30918.65310465395,WBTC
2019-05-31,8290.66956292,0.0,78626.01074817289,WBTC
2019-06-01,8637.89560393,0.0,24126.056850083653,WBTC
2019-06-02,8596.46234947,0.0,18249.720723865983,WBTC
2019-06-03,8702.13478432,0.0,24251.230047892852,WBTC
2019-06-04,8226.20428993,0.0,46043.88929418823,WBTC
2019-06-05,7679.09689828,0.0,52631.37460187106,WBTC
2019-06-06,7779.36949999,0.0,60309.144714377486,WBTC
2019-06-07,7809.04880224,0.0,13302.473941225582,WBTC
2019-06-08,7957.79519005,0.0,13716.953327899348,WBTC
2019-06-09,7720.46023348,0.0,33501.306393625135,WBTC
2019-06-10,7675.28474267,0.0,35321.513069454,WBTC
2019-06-11,8023.52064106,0.0,69369.31315953298,WBTC
2019-06-12,7927.98370815,0.0,9539.556572396205,WBTC
2019-06-13,8173.71924103,0.0,24180.68815258064,WBTC
2019-06-14,8253.5719168,0.0,52947.775350419426,WBTC
2019-06-15,8692.78848331,0.0,64383.792310171455,WBTC
2019-06-16,8732.46511177,0.0,66254.44369644795,WBTC
2019-06-17,9004.80091741,0.0,172093.98888077258,WBTC
2019-06-18,9347.29923284,0.0,215146.39372558298,WBTC
2019-06-19,9073.6407045,0.0,82789.45870357839,WBTC
2019-06-20,9321.69574775,0.0,31953.429857567655,WBTC
2019-06-21,9592.84263346,0.0,88933.5774928512,WBTC
2019-06-22,9882.08950047,0.0,140422.36006328973,WBTC
2019-06-23,10723.09146254,0.0,133408.8081755822,WBTC
2019-06-24,10825.66048215,0.0,58772.88848355948,WBTC
2019-06-25,11075.12034641,0.0,102851.64722727903,WBTC
2019-06-26,11787.02938154,0.0,139959.65295110273,WBTC
2019-06-27,12954.99299816,0.0,387513.030023786,WBTC
2019-06-28,11243.59230449,0.0,274819.4401737496,WBTC
2019-06-29,12429.87713169,0.0,196148.64983114027,WBTC
2019-06-30,12092.77094198,0.0,69794.8752772886,WBTC
2019-07-01,10731.60263925,0.0,103711.27169421062,WBTC
2019-07-02,10725.25180465,0.0,48493.019631619754,WBTC
2019-07-03,10755.75770082,0.0,72599.32144830126,WBTC
2019-07-04,12005.89879804,0.0,140826.80267903447,WBTC
2019-07-05,11205.11683685,0.0,218993.08893866456,WBTC
2019-07-06,11062.2695697,0.0,142666.89093601078,WBTC
2019-07-07,11296.69594618,0.0,117204.60431490076,WBTC
2019-07-08,11352.35420026,0.0,70706.7201933031,WBTC
2019-07-09,12308.94154881,0.0,145014.23264745515,WBTC
2019-07-10,12561.81095241,0.0,248816.5702210886,WBTC
2019-07-11,12176.90260569,0.0,471580.4175835307,WBTC
2019-07-12,11318.23500472,0.0,247877.7381828951,WBTC
2019-07-13,11882.25824569,0.0,138896.37919359378,WBTC
2019-07-14,11437.9251051,0.0,137993.59940527886,WBTC
2019-07-15,10049.00388219,0.0,202261.64321593332,WBTC
2019-07-16,10844.25742721,0.0,319605.31803372886,WBTC
2019-07-17,9566.55695849,0.0,264878.3572376445,WBTC
2019-07-18,9648.7736354,0.0,1563285.1802660068,WBTC
2019-07-19,10696.52770954,0.0,210085.70349347906,WBTC
2019-07-20,10586.3218945,0.0,124537.32086664373,WBTC
2019-07-21,10737.83410671,0.0,89462.3600225522,WBTC
2019-07-22,10569.95285325,0.0,103453.25256730936,WBTC
2019-07-23,10302.72341817,0.0,55899.34267906207,WBTC
2019-07-24,9888.82332053,0.0,75092.97663762461,WBTC
2019-07-25,9856.13271994,0.0,176093.20412186487,WBTC
2019-07-26,9892.03832335,0.0,102660.80839906317,WBTC
2019-07-27,9814.98075968,0.0,48030.67534876204,WBTC
2019-07-28,9396.80231885,0.0,53130.27443595889,WBTC
2019-07-29,9548.37600845,0.0,68455.43636332577,WBTC
2019-07-30,9544.91411948,0.0,54853.82020546492,WBTC
2019-07-31,9551.96957488,0.0,22754.783925965676,WBTC
2019-08-01,10060.84878212,0.0,125286.37424107351,WBTC
2019-08-02,10343.34512738,0.0,107053.9561346054,WBTC
2019-08-03,10538.94433018,0.0,137368.155330278,WBTC
2019-08-04,10862.59178526,0.0,142411.74240465855,WBTC
2019-08-05,11016.94501027,0.0,39534.69241611449,WBTC
2019-08-06,11875.54664919,0.0,342445.91081595566,WBTC
2019-08-07,11494.32697566,0.0,398434.08593087195,WBTC
2019-08-08,11928.44205276,0.0,194178.96308242664,WBTC
2019-08-09,11968.83659023,0.0,96747.68221742894,WBTC
2019-08-10,11937.3187791,0.0,134759.7432590785,WBTC
2019-08-11,11361.27093748,0.0,84698.11313912299,WBTC
2019-08-12,11536.62729974,0.0,201682.18802691723,WBTC
2019-08-13,11368.99211358,0.0,78398.09083902337,WBTC
2019-08-14,10965.29441448,0.0,99899.72893801957,WBTC
2019-08-15,9972.2980678,0.0,402148.23486100836,WBTC
2019-08-16,10280.89240513,0.0,280599.40028833254,WBTC
2019-08-17,10367.54028618,0.0,444675.8823312314,WBTC
2019-08-18,10226.95288007,0.0,74159.72279800594,WBTC
2019-08-19,10292.99756861,0.0,100539.90153487884,WBTC
