Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0007291605829952778,NA,NA,NA
R-squared,0.8214265631806805,NA,NA,NA
Coefficient (avg_stableBorrowRate_eth_rates),10.432512447765863,0.0018250497055282379,3.9108469017549288,16.954177993776796
Coefficient (avg_supplyRate_eth_rates),-10.380303528893581,0.0019325717810582737,-16.905404687961816,-3.8552023698253466
Coefficient (weekly_change_usdc),0.944168349154989,0.027663947705604073,0.10461380162476208,1.7837228966852159
Coefficient (moving_average_7_price_eth),-3.4816138997920744e-06,0.9523552951913703,-0.00011811782082464093,0.00011115459302505678
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_7),-2.0140608579978996e-10,0.028339248961409002,-3.812765134945705e-10,-2.1535658105009388e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_21),1.3362450784882414e-09,8.75499874259283e-05,6.761156730511106e-10,1.9963744839253723e-09
Coefficient (moving_average_21_price_usdc),-1.9094498708768883,0.5716069133391991,-8.547991078294032,4.729091336540255
Coefficient (price_eth),0.0006976860674459296,1.073789171313316e-66,0.0006397810603936791,0.0007555910744981801
Coefficient (moving_average_14_price_eth),-0.0009907363407297988,5.005547568099807e-26,-0.0011558245267718403,-0.0008256481546877575
Coefficient (market_cap_eth_volume),0.0013531440480593748,0.803374248806586,-0.009338006653205454,0.012044294749324204
Coefficient (moving_average_7_volume_eth),2.468165060488645e-12,0.6710856344872475,-8.964136951461593e-12,1.3900467072438883e-11
Coefficient (moving_average_7_mc_eth),-3.894609705192602e-08,0.8022348869663796,-3.4484783719749823e-07,2.669556430936462e-07
Coefficient (moving_average_14_mc_eth),2.627009512052554e-08,0.8017836937538834,-1.795884148069717e-07,2.321286050480228e-07
Coefficient (moving_average_21_mc_eth),1.0785529199166907e-08,0.8011517094879496,-7.345798469367855e-08,9.502904309201236e-08
Coefficient (moving_average_30_mc_eth),9.988720388896978e-12,0.8036558502912163,-6.904743119994574e-11,8.90248719777397e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_14),-9.61391241845291e-10,0.0005611248115967895,-1.5033098733457275e-09,-4.1947261034485423e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_7),-3.3790460316158585e-10,0.21482425699495883,-8.730275061595312e-10,1.9721829983635947e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_14),9.647754866373741e-10,0.07617970453356443,-1.02284216568186e-10,2.0318351898429343e-09
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_21),-1.8127118711996601e-09,0.013584443365667376,-3.2490761570387397e-09,-3.763475853605804e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_30),6.437854703617137e-10,0.48850559336622634,-1.1837940995556489e-09,2.471365040279076e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_7),1.1586793091484556e-09,0.11841436522152594,-2.9769980669181304e-10,2.6150584249887245e-09
Coefficient (avg_liquidityIndex_eth_rates),26.43995506624732,0.8568627689614844,-261.9368400314403,314.8167501639349
Coefficient (avg_variableBorrowIndex_eth_rates),10.028281026683956,0.18522685696026162,-4.837857272152952,24.894419325520865
Coefficient (volumes_last_24h_eth_volume),1.6533023823349057e-12,0.6650993891832295,-5.859077962288431e-12,9.165682726958242e-12
Coefficient (avg_liquidityIndex_usdc_rates),9.743517511832486,0.7356114790197847,-47.017475159239865,66.50451018290484
Coefficient (avg_variableBorrowIndex_usdc_rates),-7.512126844249392,0.7834125460461027,-61.273690039861776,46.24943635136299
Coefficient (moving_average_21_price_eth),0.00034871826614175244,2.7451856520324206e-06,0.0002055330207291671,0.0004919035115543378
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-18.64465503525527,0.01480666060234573,-33.608501609792334,-3.680808460718202
Coefficient (avg_stableBorrowRate_eth_rates_ma_14),15.949993012173566,0.03463518109441002,1.1613625027146348,30.738623521632498
Coefficient (avg_supplyRate_eth_rates_ma_7),16.23645705324263,0.030903108233080148,1.5039285388200963,30.968985567665165
Coefficient (avg_supplyRate_eth_rates_ma_14),-12.433492186286186,0.08812268812583458,-26.736077723156086,1.8690933505837126
Coefficient (avg_liquidityIndex_eth_rates_ma_7),-47.03732789050885,0.7534919583290496,-341.67884332327606,247.6041875422584
