date,symbol,contract_address,avg_stableBorrowRate,avg_variableBorrowRate,avg_supplyRate,avg_liquidityIndex,avg_variableBorrowIndex
2023-12-03,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07615781260334875,0.0038025391787673796,4.210015560107102e-05,1.0005204459875239,1.0035486905428566
2023-02-06,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.05395164021957295,0.03161312175658365,0.02029186482184749,1.0005179777851585,1.000842686338586
2023-03-04,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.10067503894110669,0.010675038941106671,0.0005860665802160034,1.0002163061555955,1.000901531260968
2023-02-02,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.08840787180393517,0.02938747821373846,0.010268931790462019,1.000252845981265,1.0005738964897302
2023-10-01,BAL,0xba100000625a3754423978a60c9317c58a424e3d,0.3688658535789886,0.14886585357898857,0.042818833851710904,1.0324912547711935,1.0826272927260312
2023-12-01,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07614825904522911,0.003791791425882747,4.1653630705411714e-05,1.0005199561508396,1.0035262455134852
2023-03-27,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07680911251100442,0.004535251574879975,7.84582209108084e-05,1.0003305515140046,1.0008856237765533
2023-11-25,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0971696100346432,0.027418727024250234,0.018258009125965206,1.0161670584620195,1.0299701490862079
2023-05-27,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.054302647147085055,0.03442117717668043,0.021326951813158433,1.00562380993898,1.0100050609253033
2023-10-14,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07733401767749397,0.009905152958567988,0.0008830119828341263,1.0013970099825549,1.0096742263178053
2023-12-04,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.09000000000000001,0.0,0.0,1.0,1.0
2023-10-11,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.1109352129752746,0.020935212975274616,0.002394930357769,1.000668002289694,1.0042611772844676
2023-06-05,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.09000000000000001,0.0,0.0,1.0,1.0
2023-11-16,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.11221174506317382,0.097187138862052,0.07976589397976543,1.0254320996541975,1.0337863841072035
2023-03-12,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.051614214947856736,0.012913719582853818,0.003023924703255726,1.0022935928648995,1.0039523866099238
2023-08-18,BAL,0xba100000625a3754423978a60c9317c58a424e3d,0.3471727409536582,0.12717274095365824,0.028550600709769742,1.0282821762798076,1.065117951144521
2023-09-06,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.10931051470073774,0.01931051470073774,0.0020376646264860837,1.0004937344886284,1.0025485033360122
2023-11-13,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.09,0.0,0.0,1.0,1.0
2023-05-25,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.09841790692486851,0.03889701157862509,0.020113946358800962,1.0063815054554932,1.0124724650858536
2023-09-23,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07580583192806781,0.0034065609190762876,2.6250262797114173e-05,1.0005052255575442,1.0028364580476086
2023-05-21,BAL,0xba100000625a3754423978a60c9317c58a424e3d,0.42352750386357674,0.20352750386357676,0.09090057000335745,1.0191156990977557,1.0304367947021718
2023-07-19,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09278833806382253,0.0027883380638225245,3.999978039431549e-05,1.0001883086934078,1.0025515960971099
2023-09-08,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2786189623287291,0.12861896232872908,0.04405343471344462,1.0106327942990267,1.0364819933926948
2023-08-23,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.294592528174245,0.1445925281742451,0.05946593800890304,1.0086540004598863,1.0307347978952899
2023-05-13,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.09000000000000001,0.0,0.0,1.0,1.0
2023-05-27,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0973906370551007,0.03792110520234567,0.018947002875519797,1.0064959148855657,1.0126990175675314
2023-06-22,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09559693508455594,0.005596935084555948,0.00016121428379317046,1.0001634488116964,1.0021208759883637
2023-07-30,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.08999999999999998,0.0,0.0,1.0,1.0
2024-01-11,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07508395865988064,0.008619404948503242,0.0006687507545922739,1.0017869737255116,1.0122625852743978
2023-12-06,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07618088581999422,0.0038284965474934757,4.3232437636409115e-05,1.0005211327961887,1.0035792656841034
2023-06-26,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.04972875041115791,0.033101252878105246,0.025372549233560353,1.0085822645192146,1.0128990849800028
2023-07-26,BAL,0xba100000625a3754423978a60c9317c58a424e3d,0.3508073836677414,0.1308073836677414,0.03074967982141855,1.0263230029417507,1.0564321930314269
