Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.004004128020228136,NA,NA,NA
R-squared,0.0193780098487486,NA,NA,NA
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows),-2.5974925967557985e-11,0.5904202144960031,-1.2086542594486984e-10,6.891557400975388e-11
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows),1.4414921734896211e-11,0.9287679208661984,-3.0271880939705615e-10,3.3154865286684856e-10
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows),2.4690434936699826e-10,0.3542359679719411,-2.76865653339727e-10,7.706743520737235e-10
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows),6.073515902682247e-10,0.2629878179716136,-4.5858154064545805e-10,1.6732847211819075e-09
