Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0007069004847487727,NA,NA,NA
R-squared,0.8268781226046488,NA,NA,NA
Coefficient (avg_stableBorrowRate_eth_rates),7.990879467714241,0.012943024954604034,1.702849956143857,14.278908979284626
Coefficient (avg_supplyRate_eth_rates),-8.263566960237597,0.009715127948519146,-14.510545367225589,-2.016588553249605
Coefficient (weekly_change_usdc),0.9424766250649219,0.014935909188611877,0.18499964324833784,1.699953606881506
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_7),-1.226465410859215e-10,0.098871989106302,-2.684538317618392e-10,2.3160749589996227e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_21),1.1539073953073922e-09,0.00018400955317183826,5.548934946284157e-10,1.7529212959863687e-09
Coefficient (price_eth),0.0007071736173592949,4.8254934045958596e-108,0.0006696621775423882,0.0007446850571762016
Coefficient (moving_average_14_price_eth),-0.000977867170897825,2.638132048326436e-42,-0.001095482806742023,-0.0008602515350536272
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_14),-8.652690916459678e-10,0.0007399392030547887,-1.3643351682889708e-09,-3.6620301500296475e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_21),-2.924225464820407e-10,0.27822853318683943,-8.223077676708672e-10,2.374626747067859e-10
Coefficient (moving_average_21_price_eth),0.00027248710671756775,1.251757628569256e-06,0.00016431512057755527,0.00038065909285758023
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-9.405819487634863,0.013798745735077254,-16.8768026730652,-1.934836302204526
Coefficient (avg_stableBorrowRate_eth_rates_ma_14),1.9331102061272578,0.12536407719359388,-0.5424084506106788,4.408628862865195
Coefficient (avg_supplyRate_eth_rates_ma_7),8.311466451009458,0.01992400210627275,1.323551892055809,15.299381009963108
