day,liquidator,user,token_col,token_debt,col_contract_address,collateral_amount,col_value_USD,col_current_value_USD,debt_contract_address,debt_amount,debt_value_USD,debt_current_value_USD
1701734400000000000,0x5c5c1776c16ef823e6582dd2747018ca5638e972,0x2c87bdf6fd1fa88fc7d2df78c9b1ffd8afbf59a4,USDC,WBTC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,34180.497503,34184.397402819166,34216.85313942568,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.75310909,31815.357775121767,32245.252811220802
1690156800000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x543ab47ac1600329d48e762972511d58c8a83756,WBTC,USDT,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,11.95763111,352205.8188327388,511980.06143475015,0xdac17f958d2ee523a2206206994597c13d831ec7,332878.9304,333021.55861921015,333008.95991819235
1693526400000000000,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,0x29fd7d23dd61775d564c7598b6948bf16b272641,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.04056675,1051.5056472019535,1736.9131867464132,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1000.857752,1001.3611486972516,1001.922301178734
1679702400000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x2db98d6507f14615cd9b9b287d8109328b6dc209,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.11582707,3187.375490260617,4959.272440242314,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3001.180412,3001.5628019834,3004.372578056008
1704844800000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0xc72fe1eba65fc9a14f7236c35b5998fa98452ce0,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,18709.640587,18727.000275047416,18729.540850030884,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7.350236672780466,17761.58736454148,16956.005269571975
1693612800000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x087b7165fb4469e35c3bb296416410f11739d6c2,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.11313824716434963,184.81316916789325,260.9946863633661,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,176.603212,176.59899866434148,176.79105368271735
1693612800000000000,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,0x837bbdccac71d15e03a6e8de25ebaecbd003a307,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.21046008592228582,343.78997763809264,485.503050418501,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,328.065482,328.0576551321985,328.41442453327824
1697328000000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0xc28765792fd3775d42168b18f7211a268a92715e,WETH,LUSD,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.05120845336200123,79.73627021743116,118.13099954566013,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,76.40347754048884,75.96461304730792,76.38177375263056
1703376000000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x989e2d13f20a4d35bb8623e063ab60daa6aceccf,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,461.17216526621166,462.59562919953356,461.40293968093306,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.19547866070122136,449.71798961071795,450.9429217719258
1680998400000000000,0x594efbe5a71a10a958d812b4c65f3dfa60922a15,0x07ede94cf6316f4809f2b725f5d79ad303fb4dc8,USDC,WBTC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,126.048152,126.12577534060513,126.18222145834649,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.00431698,121.01785881904658,184.8365838752311
1680998400000000000,0x594efbe5a71a10a958d812b4c65f3dfa60922a15,0x83f1f94d3f6253ac6762ccf72c57afd8850b5edb,USDC,WBTC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2.928874,2.9306776677292303,2.931989258292284,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.00010031,2.8119892652128486,4.294890809900539
1678492800000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x61626570902dfbdac61bc49d3842836ba93a0ff7,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11.93457582668415,17350.393512354753,27531.457776966043,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17500.490058,16459.047318579404,17519.104223980587
1692403200000000000,0xf81bb6dc2fc79a341f6e6f1bdcbc4437ace4c98e,0xd2137e8cec478083548b3d6d172da545b94716b9,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.32565216488229476,543.2401980542185,751.2356498995463,0xdac17f958d2ee523a2206206994597c13d831ec7,516.42735,516.8218377351328,516.6290773950658
1686787200000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5,wstETH,USDC,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.5852480177227306,1089.0487554712645,1560.5056840862198,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1009.070766,1010.4330290526851,1010.144050843009
1705449600000000000,0x000000005bcf85aad6ed1d32db5490deddfc97f9,0x73239a06de2fc0a00bf06bfda9f11c432e94f6e1,LINK,USDT,0x514910771af9ca656af840dff83e8264ecf986ca,166.39841030435397,2633.8730593824625,3128.38594526706,0xdac17f958d2ee523a2206206994597c13d831ec7,2455.838093,2457.236743957258,2456.797395060985
1702252800000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x1bade9692f817206bd3eb2584eb569a4de7a3661,AAVE,WETH,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,7.3114699922678685,669.8200137027567,615.6939116556875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.27957964300507776,626.3267905600194,644.9525520197817
1705363200000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0xf1df3aa0e47a7fb0d71d04cb93596c0e769e9abb,WBTC,USDT,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.18618876,8004.504750810297,7971.891079959896,0xdac17f958d2ee523a2206206994597c13d831ec7,7551.685721,7556.960809466293,7554.635568425494
1704067200000000000,0x5c5c1776c16ef823e6582dd2747018ca5638e972,0x0d099f8b3d708cdd879fd35176d354147661492c,WETH,1INCH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.180097447743528,2722.5405797438484,2722.325747230445,0x111111111117dc0aa78b770fa6a738034120c302,5045.88385405493,2567.210955315644,2006.4053113474176
1704067200000000000,0x5c5c1776c16ef823e6582dd2747018ca5638e972,0x0d099f8b3d708cdd879fd35176d354147661492c,WETH,1INCH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.180097447743528,2722.5405797438484,2722.325747230445,0x111111111117dc0aa78b770fa6a738034120c302,5045.88385405493,2567.210955315644,2006.4053113474176
1698192000000000000,0x5c5c1776c16ef823e6582dd2747018ca5638e972,0xf65b21f8f2d1186dd43094f2ff2d90e7c4ee2743,USDC,LINK,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,26731.623959,26738.27038746127,26760.056699092096,0x514910771af9ca656af840dff83e8264ecf986ca,2253.0085809129578,25081.539797548947,42357.85886537256
1705017600000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0xa163f0e3f92a56ece506784359987916963b787b,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.21965077,9916.485620670783,9404.606454596522,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3.506020223137832,9142.448922292268,8087.916080158386
1706659200000000000,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,0x17b70d5d0e03d6e595a74155682e23a6d7dbcc14,wstETH,GHO,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,15.916071203828812,42691.775607551135,42438.622310144754,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,40526.27060055921,40447.82046508193,40433.793045919585
1693612800000000000,0x6dce52e318338b0cc30969ada8e0c95d24c37a28,0x5ee3b79470aca3dfcee315dfc276095931fcfb8f,AAVE,USDC,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,3.970988278386712,217.02305806915544,334.39422015605334,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,202.973923,202.96908052144119,203.18981354248945
1706659200000000000,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,0xf01601b1486748097af3dd505a151e0d7cb76809,WETH,wstETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.6342303867750114,3794.0812435422167,3769.949225236244,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,1.3533436668841772,3630.0820351080624,3608.556408123348
1697068800000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x54f9a36bcb815053f8cb37bcb8d7373bfd69c21e,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.22870579667380964,354.2455134669003,527.5934457925173,0xdac17f958d2ee523a2206206994597c13d831ec7,336.987653,337.030583822877,337.11928747173937
1697068800000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0xe174cef4783594b6e902d4bbc93dd1796f401dab,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5193760175315085,804.4685648053467,1198.1304660251444,0xdac17f958d2ee523a2206206994597c13d831ec7,765.277084,765.3745771118471,765.5760173401083
1704672000000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x68880114a744cfb622862fa8fdeb174fd9259fc9,WETH,GHO,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9633331511179196,2175.1473179668906,2222.2797324606217,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,2035.9424268931064,1996.8768060213488,2031.2965768250879
1695427200000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x73055e3af6515e1aa61679edc55ffd4ba78e3d61,USDC,RPL,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,35597.350448,35611.037382043316,35635.21310141782,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,1524.6720351005395,32603.523270588586,42062.17062897414
1693353600000000000,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0x6bfdc44450e5c5e535b114b147f10710800bf0cb,WBTC,GHO,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.05766235,1577.4578529952541,2468.881438463447,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,1500.9990631753171,1472.3330716674338,1497.573909051293
1699142400000000000,0xd4c007fa283d3c1b49a0cba8b152fea203064f59,0x404d846c95b2a70104fbae9797305beaa27a4062,WETH,DAI,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.17651557199999596,332.2281709385008,407.1976321629442,0x6b175474e89094c44da98b954eedeac495271d0f,312.50616665907336,312.69425088267684,312.6625473627222
1705017600000000000,0x3aa228a80f50763045bdfc45012da124bd0a6809,0x2882ea99b803e734fbe48263fc7d97408918eb88,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,30.56141082,1379743.8130717343,1308522.8039917545,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1229982.369656,1231184.4766960505,1231290.6242195063
1705017600000000000,0x3aa228a80f50763045bdfc45012da124bd0a6809,0xc277d85541b7e7834c5ec4777e7df705851b6ef2,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.09769791,4410.728538236348,4183.051099645998,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4018.874485,4022.8022789511024,4023.1491079660427
1702252800000000000,0x5c5c1776c16ef823e6582dd2747018ca5638e972,0x890e0ca73ec07dd6b3219b998ab7f4e421870ead,WBTC,USDC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.12572162,5271.093487763467,5382.919253751449,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5110.532359,5116.78953156726,5115.968109499803
1705017600000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0xcd705dee3db92533fffa2bdd47b97ab573e8ed14,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.3544545075366172,924.2907981658797,817.6787721504611,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,856.949592,857.7871203767684,857.8610751578784
1702252800000000000,0xbb8f69fc5696e66d8b22f981f4833f3354d52e62,0x2db98d6507f14615cd9b9b287d8109328b6dc209,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.8621746029968222,4171.726632243375,4295.785807579028,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3865.487591,3870.22037052558,3869.5990660144885
1702252800000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x0ca7e7e5745bd457f5ed7265ff2cd1c8208575e1,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.211622007556855,40798.488188491385,42011.75723648838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,39803.710048,39852.44443907551,39846.04674045953
1693699200000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x3c6dfd64a2fd98f79adad8b1844074f42ece9243,WETH,USDC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5090356663327427,832.5301123427881,1174.2766695800872,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,795.350226,795.3603556688511,796.1961898027504
1679875200000000000,0x1a2d11cb90d1de13bb81ee7b772a08ac234a8058,0x2db98d6507f14615cd9b9b287d8109328b6dc209,WETH,DAI,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.4692176943025397,2563.728964662341,3389.287185676221,0x6b175474e89094c44da98b954eedeac495271d0f,2401.043019454958,2401.009071374489,2402.2445214953423
1701648000000000000,0xbb8f69fc5696e66d8b22f981f4833f3354d52e62,0x2834815a451562e1d469e1e38fc728d57e2879ee,USDT,wstETH,0xdac17f958d2ee523a2206206994597c13d831ec7,2322.046283,2322.758103062993,2322.953323163329,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.863980672601839,2213.809956685604,2303.718611097553
1702512000000000000,0xbb8f69fc5696e66d8b22f981f4833f3354d52e62,0x54d30a3423d0d59bee630d8e898dabdf2cc0b92c,wstETH,USDT,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,1.1827319888909005,3101.155266129566,3153.63732216733,0xdac17f958d2ee523a2206206994597c13d831ec7,2896.028376,2898.843154690998,2897.1596256526896
1705017600000000000,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,0x6775c29818871a68809f08eae82f4490b065a079,WBTC,USDT,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.03353188,1513.8503992226306,1435.7069409898086,0xdac17f958d2ee523a2206206994597c13d831ec7,1363.831847,1364.8898395553115,1364.36458843169
