Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.004341249660800486,NA,NA,NA
R-squared,-0.06318400925529533,NA,NA,NA
Coefficient (avg_stableBorrowRate_eth_rates),17.546812956880714,0.029324503070828182,1.7774947853179537,33.31613112844347
Coefficient (avg_supplyRate_eth_rates),-17.88180657048019,0.02547123285914214,-33.552515786377526,-2.211097354582858
Coefficient (weekly_change_usdc),3.736765506345549,0.00012089471466938128,1.8504747144692792,5.623056298221819
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-16.603118000371488,0.07281897548953882,-34.752809750927014,1.5465737501840344
Coefficient (avg_stableBorrowRate_eth_rates_ma_14),4.110268903602364,0.18597935175771246,-1.9924489453902332,10.212986752594961
Coefficient (avg_supplyRate_eth_rates_ma_7),15.032151656267601,0.07953113211485734,-1.78245527001798,31.846758582553182
