date,open,high,low,close,token
2019-02-03,3438.3604,3472.2433,3438.3604,3461.0583,WBTC
2019-02-07,3468.16,3486.4073,3425.8603,3425.8603,WBTC
2019-02-11,3387.7629,3770.3402,3387.7629,3770.3402,WBTC
2019-02-15,3605.9233,3652.9015,3605.5237,3605.5237,WBTC
2019-02-19,3613.8624,3831.385,3613.8624,3831.385,WBTC
2019-02-23,3909.7035,4002.9162,3909.7035,3977.9965,WBTC
2019-02-27,4123.6945,4123.6945,3683.2476,3853.0088,WBTC
2019-02-28,3821.6443,3834.8086,3808.0505,3834.8086,WBTC
2019-03-07,3767.0906,3874.3672,3712.8856,3873.7334,WBTC
2019-03-11,3862.0876,3927.72,3840.7509,3927.72,WBTC
2019-03-15,3881.7926,3896.5741,3853.7476,3878.8984,WBTC
2019-03-19,3924.4145,4008.9723,3924.4145,3995.8317,WBTC
2019-03-23,4018.7774,4147.001,4005.7724,4005.7724,WBTC
2019-03-27,4005.2234,4005.2234,3216.3869,3743.4955,WBTC
2019-03-31,3855.9489,4123.2154,3175.6109,4114.9634,WBTC
2019-04-03,4939.4124,4939.4124,3139.1733,4909.6984,WBTC
2019-04-07,4934.8718,5050.7961,4899.7836,5050.7961,WBTC
2019-04-11,5180.693,5315.3357,5180.693,5315.3357,WBTC
2019-04-15,5074.4902,5153.2202,5074.4902,5153.2202,WBTC
2019-04-19,5065.8284,5300.6078,5065.8284,5300.6078,WBTC
2019-04-23,5304.0429,5390.2361,5304.0429,5390.2361,WBTC
2019-04-27,5540.9291,5540.9291,5140.3118,5288.3131,WBTC
2019-04-30,5297.8513,5297.8513,4945.6518,5199.8632,WBTC
2019-05-03,5318.8081,5464.7424,5318.8081,5464.7424,WBTC
2019-05-07,5749.9932,5825.7561,5666.9405,5666.9405,WBTC
2019-05-11,5841.5777,6349.6443,5841.5777,6349.6443,WBTC
2019-05-15,7306.9528,7958.741,7080.4662,7914.1634,WBTC
2019-05-19,8238.8309,8238.8309,7267.5967,7267.5967,WBTC
2019-05-23,8216.0094,8216.0094,7635.5196,7635.5196,WBTC
2019-05-27,7839.8358,8650.7964,7839.8358,8650.7964,WBTC
2019-05-31,8839.1669,8839.1669,8290.6696,8290.6696,WBTC
2019-06-03,8637.8956,8702.1348,8596.4623,8702.1348,WBTC
2019-06-07,8226.2043,8226.2043,7679.0969,7809.0488,WBTC
2019-06-11,7957.7952,8023.5206,7675.2847,8023.5206,WBTC
2019-06-15,7927.9837,8692.7885,7927.9837,8692.7885,WBTC
2019-06-19,8732.4651,9347.2992,8732.4651,9073.6407,WBTC
2019-06-23,9321.6957,10723.0915,9321.6957,10723.0915,WBTC
2019-06-27,10825.6605,12954.993,10825.6605,12954.993,WBTC
2019-06-30,11243.5923,12429.8771,11243.5923,12092.7709,WBTC
2019-07-03,10731.6026,10755.7577,10725.2518,10755.7577,WBTC
2019-07-07,12005.8988,12005.8988,11062.2696,11296.6959,WBTC
2019-07-11,11352.3542,12561.811,11352.3542,12176.9026,WBTC
2019-07-15,11318.235,11882.2582,10049.0039,10049.0039,WBTC
2019-07-19,10844.2574,10844.2574,9566.557,10696.5277,WBTC
2019-07-23,10586.3219,10737.8341,10302.7234,10302.7234,WBTC
2019-07-27,9888.8233,9892.0383,9814.9808,9814.9808,WBTC
2019-07-31,9396.8023,9551.9696,9396.8023,9551.9696,WBTC
2019-08-03,10060.8488,10538.9443,10060.8488,10538.9443,WBTC
2019-08-07,10862.5918,11875.5466,10862.5918,11494.327,WBTC
2019-08-11,11928.4421,11968.8366,11361.2709,11361.2709,WBTC
2019-08-15,11536.6273,11536.6273,9972.2981,9972.2981,WBTC
2019-08-19,10280.8924,10367.5403,10226.9529,10292.9976,WBTC
2019-08-23,10876.2531,10876.2531,10053.8855,10053.8855,WBTC
2019-08-27,10369.4991,10369.4991,10097.8452,10339.5857,WBTC
2019-08-31,10145.3197,10145.3197,9449.5311,9537.5675,WBTC
2019-09-03,9615.026,10384.4078,9615.026,10384.4078,WBTC
2019-09-07,10572.5032,10575.884,10318.7338,10318.7338,WBTC
2019-09-11,10435.5463,10435.5463,10107.9036,10107.9036,WBTC
2019-09-15,10188.9585,10402.3892,10188.9585,10402.3892,WBTC
2019-09-19,10260.3085,10271.7701,10113.0089,10113.0089,WBTC
2019-09-23,10229.0626,10229.0626,10000.3153,10085.5278,WBTC
2019-09-27,9684.1115,9684.1115,8161.8904,8161.8904,WBTC
2019-09-30,8215.8102,8243.3782,8072.5917,8072.5917,WBTC
2019-10-03,8316.0459,8369.9286,8316.0459,8369.9286,WBTC
2019-10-07,8147.8413,8147.8413,7892.6769,7892.6769,WBTC
2019-10-11,8207.3607,8615.4628,8182.0868,8530.9232,WBTC
2019-10-15,8310.1812,8337.9029,8310.1812,8337.9029,WBTC
2019-10-19,8229.7006,8229.7006,7975.1828,7975.1828,WBTC
2019-10-23,7913.6746,8234.2586,7913.6746,8078.0374,WBTC
2019-10-27,7497.5404,9210.1384,7456.8341,9210.1384,WBTC
2019-10-31,9527.1335,9527.1335,9158.821,9158.821,WBTC
2019-11-03,9144.4088,9349.0995,9144.4088,9349.0995,WBTC
2019-11-07,9214.6082,9417.8506,9214.6082,9363.9741,WBTC
2019-11-11,9238.877,9238.877,8815.6641,9091.9844,WBTC
2019-11-15,8733.3781,8841.3539,8686.3477,8686.3477,WBTC
2019-11-19,8561.2707,8614.735,8246.9599,8246.9599,WBTC
2019-11-23,8168.3774,8168.3774,7337.3067,7337.3067,WBTC
2019-11-27,7369.4271,7369.4271,6880.4563,7141.8377,WBTC
2019-11-30,7494.5341,7737.1397,7448.8393,7737.1397,WBTC
2019-12-03,7549.8649,7549.8649,7313.5417,7313.5417,WBTC
2019-12-07,7300.8596,7496.6159,7234.8218,7496.6159,WBTC
2019-12-11,7468.6396,7531.7497,7258.8203,7258.8203,WBTC
2019-12-15,7195.4863,7242.0856,7097.3239,7097.3239,WBTC
2019-12-19,7086.5289,7265.9344,6594.8397,7265.9344,WBTC
2019-12-23,7141.5069,7424.9304,7136.7149,7424.9304,WBTC
2019-12-27,7346.1268,7346.1268,7179.6699,7179.6699,WBTC
2019-12-31,7267.9043,7379.8753,7254.4222,7254.4222,WBTC
2020-01-03,7161.0858,7201.8637,6981.9668,6981.9668,WBTC
2020-01-07,7328.2896,7775.0912,7328.2896,7775.0912,WBTC
2020-01-11,8115.5313,8160.8368,7840.7944,8160.8368,WBTC
2020-01-15,7996.547,8887.3337,7996.547,8887.3337,WBTC
2020-01-19,8841.4235,8892.2302,8714.7878,8892.2302,WBTC
2020-01-23,8708.7968,8741.2414,8626.2619,8626.2619,WBTC
2020-01-27,8414.5596,8576.3797,8327.2527,8576.3797,WBTC
2020-01-31,8924.778,9476.5883,8924.778,9476.5883,WBTC
2020-02-03,9318.2217,9388.0358,9318.2217,9341.7046,WBTC
2020-02-07,9292.3627,9770.7088,9187.5483,9770.7088,WBTC
2020-02-11,9858.422,10146.9959,9842.8158,9842.8158,WBTC
2020-02-15,10214.0208,10420.3282,10214.0208,10420.3282,WBTC
2020-02-19,10145.1449,10171.0124,9841.0918,10171.0124,WBTC
2020-02-23,9527.1094,9724.2597,9527.1094,9667.127,WBTC
2020-02-27,9984.8676,9984.8676,8792.2989,8792.2989,WBTC
2020-02-29,8827.2775,8827.2775,8746.1683,8746.1683,WBTC
2020-03-03,8513.7996,8947.4419,8513.7996,8947.4419,WBTC
2020-03-07,8817.477,9138.7885,8719.003,9138.7885,WBTC
2020-03-11,8873.9641,8873.9641,7903.3013,7903.3013,WBTC
2020-03-15,7921.6911,7921.6911,4842.8395,5176.9169,WBTC
2020-03-19,5387.073,5415.9202,5077.0858,5415.9202,WBTC
2020-03-23,6186.2479,6223.8685,5835.6266,5835.6266,WBTC
2020-03-27,6519.0136,6774.5851,6519.0136,6774.5851,WBTC
2020-03-31,6385.5652,6409.9017,5905.1523,6409.9017,WBTC
2020-04-03,6448.9214,6802.7848,6448.9214,6802.7848,WBTC
2020-04-07,6752.679,7377.3401,6752.679,7377.3401,WBTC
2020-04-11,7188.6923,7350.1183,6871.3045,6871.3045,WBTC
2020-04-15,6879.7263,6899.6773,6843.0912,6882.199,WBTC
2020-04-19,6639.0404,7247.1556,6639.0404,7247.1556,WBTC
2020-04-23,7119.7057,7130.9699,6837.979,7130.9699,WBTC
2020-04-27,7490.6644,7673.2972,7490.6644,7673.2972,WBTC
2020-04-30,7789.2336,8767.5313,7748.3147,8767.5313,WBTC
2020-05-03,8614.687,8930.481,8614.687,8930.481,WBTC
2020-05-07,8940.1691,9176.291,8891.6219,9176.291,WBTC
2020-05-11,9971.8131,9971.8131,8749.4751,8749.4751,WBTC
2020-05-15,8569.9856,9734.2148,8569.9856,9734.2148,WBTC
2020-05-19,9268.965,9726.7465,9268.965,9591.7473,WBTC
2020-05-23,9787.6812,9787.6812,9036.1685,9180.2649,WBTC
2020-05-27,9177.2174,9177.2174,8679.1246,8868.9238,WBTC
2020-05-31,9251.6282,9691.1712,9251.6282,9641.8795,WBTC
2020-06-03,9495.8213,10108.4407,9495.8213,9526.4707,WBTC
2020-06-07,9681.3852,9816.2177,9626.6858,9643.8905,WBTC
2020-06-11,9754.9883,9883.8067,9726.6285,9883.8067,WBTC
2020-06-15,9297.7674,9455.0518,9297.7674,9342.8762,WBTC
2020-06-19,9432.6442,9541.5936,9393.4346,9393.4346,WBTC
2020-06-23,9289.6202,9741.9533,9289.6202,9741.9533,WBTC
2020-06-27,9620.1965,9620.1965,9172.9647,9172.9647,WBTC
2020-06-30,9021.0731,9179.3983,9021.0731,9179.3983,WBTC
2020-07-03,9155.4065,9227.4851,9093.543,9093.543,WBTC
2020-07-07,9067.467,9367.6137,9067.467,9367.6137,WBTC
2020-07-11,9266.7028,9422.0451,9231.9964,9287.1563,WBTC
2020-07-15,9217.1583,9291.555,9207.8001,9245.8537,WBTC
2020-07-19,9234.0225,9234.0225,9125.6384,9155.6188,WBTC
2020-07-23,9227.9885,9564.8042,9157.8207,9564.8042,WBTC
2020-07-27,9601.1539,9951.6054,9534.1259,9951.6054,WBTC
2020-07-31,10988.7961,11100.7108,10897.056,11096.9542,WBTC
2020-08-03,11344.9469,11822.4574,11034.1879,11034.1879,WBTC
2020-08-07,11255.5737,11789.474,11180.7641,11789.474,WBTC
2020-08-11,11592.0876,11865.8469,11592.0876,11865.8469,WBTC
2020-08-15,11434.6777,11785.7007,11434.6777,11783.0952,WBTC
2020-08-19,11894.2013,12271.8508,11894.2013,11957.667,WBTC
2020-08-23,11878.2914,11878.2914,11483.2986,11718.5614,WBTC
2020-08-27,11832.6114,11832.6114,11369.1309,11522.5707,WBTC
2020-08-31,11315.8113,11744.1279,11315.8113,11744.1279,WBTC
2020-09-03,11847.28,11946.2541,11511.103,11511.103,WBTC
2020-09-07,10196.4785,10520.1862,10124.4798,10264.4081,WBTC
2020-09-11,10378.2893,10378.2893,10132.1291,10334.2665,WBTC
2020-09-15,10385.2939,10679.7765,10297.0008,10679.7765,WBTC
2020-09-19,10794.3716,10983.4395,10794.3716,10934.9443,WBTC
2020-09-23,11103.9718,11103.9718,10419.439,10523.383,WBTC
2020-09-27,10231.0026,10750.6046,10231.0026,10750.6046,WBTC
2020-09-30,10779.0035,10846.6948,10714.2225,10846.6948,WBTC
2020-10-03,10761.8513,10761.8513,10570.5172,10570.5172,WBTC
2020-10-07,10550.5357,10797.0566,10550.5357,10615.6968,WBTC
2020-10-11,10676.8134,11278.974,10676.8134,11278.974,WBTC
