Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0038743332760483888,NA,NA,NA
R-squared,0.05116510049762946,NA,NA,NA
Coefficient (price_eth),0.00010836400466367794,1.4852979851600445e-10,7.632464009857835e-05,0.00014040336922877753
Coefficient (market_cap_eth_volume),-1.107537645444393e-09,7.138430081521423e-12,-1.4119144397112921e-09,-8.031608511774941e-10
Coefficient (volumes_last_24h_eth_volume),3.097755940118455e-11,1.1559650919244157e-08,2.0612796783215464e-11,4.134232201915363e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows),-1.1568079947067254e-10,0.015378222124643891,-2.090694437495098e-10,-2.2292155191835286e-11
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows),-1.1475569215754549e-10,0.4317697846960412,-4.0168485442677414e-10,1.7217347011168317e-10
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows),-7.879774350078248e-11,0.7454135416076624,-5.560604156502889e-10,3.98464928648724e-10
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows),2.6570937033067837e-10,0.5869851837458979,-6.960823489842226e-10,1.2275010896455794e-09
