Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0006348388499823212,NA,NA,NA
R-squared,0.8445262156079799,NA,NA,NA
Coefficient (price_eth),0.0007136299797792932,7.33583431796597e-58,0.0006483132636134625,0.0007789466959451239
Coefficient (market_cap_eth_volume),0.09052182068032721,0.13708943451602623,-0.02901914695079827,0.2100627883114527
Coefficient (volumes_last_24h_eth_volume),1.7013495550095673e-12,0.7343803195639573,-8.164853919665385e-12,1.156755302968452e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows),-3.295543265708052e-11,0.19556595075277947,-8.297407405048848e-11,1.706320873632745e-11
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows),-1.4156289357941785e-11,0.8681848204504489,-1.82005791485113e-10,1.5369321276922943e-10
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows),8.84320092174301e-11,0.5646119925022275,-2.1358474427655403e-10,3.9044876271141423e-10
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows),1.2077453951136073e-10,0.60897916665216,-3.4372232256982426e-10,5.852714015925457e-10
Coefficient (avg_stableBorrowRate_eth_rates),9.004826776859325,0.02846504242408455,0.9569746586168915,17.052678895101756
Coefficient (avg_variableBorrowRate_eth_rates),2.7323358399307898,0.34600523303326036,-2.9681090324659314,8.43278071232751
Coefficient (avg_supplyRate_eth_rates),-11.235439485672298,0.006777752376377945,-19.338780190677717,-3.1320987806668814
Coefficient (avg_liquidityIndex_eth_rates),3.468768731823277,0.6266077518465227,-10.558629569487127,17.49616703313368
Coefficient (avg_variableBorrowIndex_eth_rates),2.4636829945270087,0.810347994342799,-17.73799144393798,22.665357432991996
Coefficient (avg_stableBorrowRate_usdc_rates),-0.8125504859670638,0.7480775089149734,-5.7906065792226284,4.165505607288501
Coefficient (avg_variableBorrowRate_usdc_rates),-1.5315466014258838,0.7996087616680019,-13.403341047081103,10.340247844229335
Coefficient (avg_supplyRate_usdc_rates),2.701181883403156,0.5442233361501269,-6.06071163960329,11.463075406409601
Coefficient (avg_liquidityIndex_usdc_rates),18.70583373223379,0.1386630560881288,-6.09601913005049,43.50768659451806
Coefficient (avg_variableBorrowIndex_usdc_rates),-14.910623705721306,0.2861943378257842,-42.39036882171097,12.569121410268359
Coefficient (price_usdc),-1.5298822628588846,0.16717306285862293,-3.705014580967373,0.6452500552496039
Coefficient (market_cap_usdc_volume),-4.578056223773944e-12,0.1636002961168315,-1.1031993832303258e-11,1.8758813847553706e-12
Coefficient (volumes_last_24h_usdc_volume),-4.0638236143702796e-14,0.9612017918773699,-1.6845916039622031e-12,1.6033151316747975e-12
Coefficient (weekly_change_usdc),2.048553496555149,0.0005995692403180303,0.8883312647879322,3.208775728322366
Coefficient (min_price_next_7_days_eth),-0.0002318194318055646,0.00025088833700204373,-0.00035467022794876367,-0.00010896863566236555
Coefficient (min_price_next_7_days_usdc),-1.038338643625977,0.4968677847716316,-4.04431207725419,1.9676347900022364
Coefficient (moving_average_7_price_eth),0.00019723952645635584,0.016306226799939854,3.662279835935171e-05,0.00035785625455336
Coefficient (moving_average_14_price_eth),-0.0008466187688125336,3.35155547296846e-13,-0.0010629040897363572,-0.0006303334478887101
Coefficient (moving_average_21_price_eth),0.00014003971649074223,0.3716995258182416,-0.00016820237905814295,0.0004482818120396274
Coefficient (moving_average_30_price_eth),1.0309739159720606e-05,0.940476816098286,-0.0002613931158507517,0.00028201259417019286
Coefficient (moving_average_7_volume_eth),-8.244703400176108e-12,0.6419259483392633,-4.3127803708778777e-11,2.663839690842656e-11
Coefficient (moving_average_14_volume_eth),2.221016901596358e-11,0.4418280087787875,-3.4582560516632095e-11,7.900289854855925e-11
Coefficient (moving_average_21_volume_eth),1.9217233158465586e-11,0.6504554665893957,-6.422263828074578e-11,1.0265710459767695e-10
Coefficient (moving_average_30_volume_eth),-4.1500702595700506e-11,0.2568732286127182,-1.1343359763062172e-10,3.043219243922071e-11
Coefficient (moving_average_7_mc_eth),-5.455907438684541e-10,0.110023661087886,-1.2156326606639784e-09,1.2445117292707017e-10
Coefficient (moving_average_14_mc_eth),-4.307461111886364e-12,0.2118598154217152,-1.1085950621086272e-11,2.471028397313545e-12
Coefficient (moving_average_21_mc_eth),6.806090340677437e-12,0.1248033565347952,-1.8982803625627414e-12,1.5510461043917618e-11
Coefficient (moving_average_30_mc_eth),8.407920563040725e-13,0.18816267309651666,-4.14172545969495e-13,2.09575665857764e-12
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_7),-3.488776288366369e-10,0.007100626923032212,-6.01968268277449e-10,-9.578698939582482e-11
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_14),-2.792548853505798e-10,0.5097684508123569,-1.1125244514898352e-09,5.540146807886756e-10
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_21),2.3585946608406466e-09,0.007347316555604043,6.401764932085116e-10,4.0770128284727816e-09
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_30),-1.4365632125657268e-09,0.22558920840071126,-3.765855674851569e-09,8.927292497201154e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_7),-7.306612588455746e-10,0.03855353877606848,-1.4225241182443012e-09,-3.8798399446848005e-11
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_14),9.964949111121444e-10,0.11189555959436898,-2.3377119096606924e-10,2.2267610131903583e-09
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_21),-2.6721950578036136e-09,0.014473096820563015,-4.809209584688977e-09,-5.351805309182498e-10
Coefficient (borrows_volume_v3_eth_daily_deposits_borrows_ma_30),4.501108141278009e-09,0.0007732966512120953,1.897758565345512e-09,7.104457717210506e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_7),8.539016459594486e-10,0.1193981821710806,-2.223858319866425e-10,1.9301891239055396e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_14),-6.548858543621317e-10,0.5310877670247491,-2.7115864064674847e-09,1.4018146977432211e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_21),-1.146993153764849e-09,0.4279682183758955,-3.992628246019997e-09,1.6986419384902992e-09
Coefficient (deposits_volume_v3_usdc_daily_deposits_borrows_ma_30),1.8028292338001785e-09,0.14818892083301924,-6.453616170678456e-10,4.2510200846682025e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_7),1.7309783902099509e-10,0.9159299921305837,-3.0537475288772765e-09,3.3999432069192665e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_14),-4.431060126137816e-09,0.1605080160230523,-1.0631731622200114e-08,1.7696113699244827e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_21),-3.017917991495625e-09,0.5258123767378051,-1.2375246224219427e-08,6.339410241228177e-09
Coefficient (borrows_volume_v3_usdc_daily_deposits_borrows_ma_30),-3.0414189945574528e-09,0.7337661614974058,-2.0636449526174446e-08,1.4553611537059539e-08
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-16.76492253820761,0.07522086440523813,-35.2471380649675,1.717292988552284
Coefficient (avg_stableBorrowRate_eth_rates_ma_14),14.23776584717541,0.09440616337060836,-2.464450746284193,30.939982440635013
Coefficient (avg_stableBorrowRate_eth_rates_ma_21),-8.63359607267233,0.4426019293981074,-30.74773232998124,13.480540184636581
Coefficient (avg_stableBorrowRate_eth_rates_ma_30),6.303803787484904,0.4348169804405173,-9.570193991245642,22.17780156621545
Coefficient (avg_variableBorrowRate_eth_rates_ma_7),-1.9693087396739948,0.7298535341851107,-13.190421541576699,9.25180406222871
Coefficient (avg_variableBorrowRate_eth_rates_ma_14),-2.0527693500103643,0.8066479077595592,-18.55656964746786,14.45103094744713
Coefficient (avg_variableBorrowRate_eth_rates_ma_21),16.235846020281322,0.19445290751294975,-8.344807183731717,40.81649922429436
Coefficient (avg_variableBorrowRate_eth_rates_ma_30),-16.165516602980876,0.13812811880749784,-37.57000640214211,5.238973196180357
