Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.0006953601086011492,NA,NA,NA
R-squared,0.8297043925360311,NA,NA,NA
Coefficient (avg_stableBorrowRate_eth_rates),8.338520673794617,0.009424825795045546,2.0603571959573843,14.616684151631851
Coefficient (avg_supplyRate_eth_rates),-8.822635593717862,0.005686592923844525,-15.053939999769316,-2.591331187666409
Coefficient (weekly_change_usdc),0.9685336176612819,0.012342688736767707,0.21156926876227167,1.725497966560292
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_21),1.0027311187733771e-09,0.0007641927535527676,4.2277582655285735e-10,1.5826864109938968e-09
Coefficient (price_eth),0.000698394403938678,5.177028608960489e-112,0.0006625712921460727,0.0007342175157312834
Coefficient (moving_average_14_price_eth),-0.0009306291359144165,1.4201651075676248e-43,-0.0010404262670918355,-0.0008208320047369975
Coefficient (deposits_volume_v3_eth_daily_deposits_borrows_ma_14),-8.667005870780528e-10,0.0004180575805824902,-1.3443308106581294e-09,-3.8907036349797624e-10
Coefficient (moving_average_21_price_eth),0.0002229805961302038,1.6823188923201666e-05,0.00012279114326390524,0.0003231700489965024
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-8.958571720198773,0.008089592115233671,-15.569322743390462,-2.3478206970070845
Coefficient (avg_supplyRate_eth_rates_ma_7),9.29553857403155,0.00651837243249799,2.620534060990922,15.970543087072178
