Start Day,Loop,Day,eth_price,Total_token_supply,Total_token_supply_mktv,Total_token_borrow,LTV,Liquidated
0,1,0,1602.57072645,1.8333333333333335,2938.046331825,1335.475605375,0.45454545454545453,False
0,1,1,1598.99996198,1.8334840182648406,2931.740875496418,1335.9512542207501,0.4556853115453253,False
0,1,2,1571.19511715,1.8336347155814106,2880.997911758241,1336.4270724756782,0.4638764460818618,False
0,1,3,1646.92869652,1.8337854252840613,3020.1138401604526,1336.9030602001217,0.44266644602015887,False
0,1,4,1568.27247381,1.833936147373811,2876.1115786515074,1337.3792174544396,0.4649955959224234,False
0,1,5,1586.11249885,1.8340868818516776,2909.068127281769,1337.8555442990125,0.45989144487623385,False
0,1,6,1642.86168563,1.8342376287186792,3013.3987225627434,1338.3320407942424,0.4441271016588401,False
0,2,0,1602.57072645,1.8333333333333335,2938.046331825,1335.475605375,0.45454545454545453,False
0,2,0,1602.57072645,2.527777777777778,4050.9426696375003,2448.3719431875,0.6043956043956044,False
0,2,1,1598.99996198,2.527985540334856,4042.248782881425,2449.2439660713753,0.6059112384283997,False
0,2,2,1571.19511715,2.5281933199683086,3972.284999545454,2450.116299538743,0.61680274698797,False
0,2,3,1646.92869652,2.528401116679539,4164.096355372745,2450.9889437002225,0.5886004392136177,False
0,2,4,1568.27247381,2.5286089304699515,3965.5477826861693,2451.861898666472,0.61829084732542,False
0,2,5,1586.11249885,2.5288167613409493,4010.9878724642576,2452.735164548189,0.6115040091211459,False
0,2,6,1642.86168563,2.5290246092939364,4154.837632624389,2453.6087414561102,0.5905426296782377,False
0,3,0,1602.57072645,1.8333333333333335,2938.046331825,1335.475605375,0.45454545454545453,False
0,3,0,1602.57072645,2.527777777777778,4050.9426696375003,2448.3719431875,0.6043956043956044,False
0,3,0,1602.57072645,3.106481481481482,4978.35628448125,3375.7855580312503,0.6780923994038748,False
0,3,1,1598.99996198,3.1067368087265352,4967.672039035597,3376.987892613563,0.6797928418135182,False
0,3,2,1571.19511715,3.1069921569573897,4881.690906034797,3378.190655424631,0.6920124031713021,False
0,3,3,1646.92869652,3.10724752617577,5117.415118049656,3379.3938466169743,0.6603712555382698,False
0,3,4,1568.27247381,3.1075029163834014,4873.4112860483865,3380.5974663431666,0.6936819545727957,False
0,3,5,1586.11249885,3.1077583275820087,4929.254326782997,3381.8015147558367,0.6860675653071685,False
0,3,6,1642.86168563,3.1080137597733173,5106.036724342426,3383.005992007668,0.6625502664090892,False
0,4,0,1602.57072645,1.8333333333333335,2938.046331825,1335.475605375,0.45454545454545453,False
0,4,0,1602.57072645,2.527777777777778,4050.9426696375003,2448.3719431875,0.6043956043956044,False
0,4,0,1602.57072645,3.106481481481482,4978.35628448125,3375.7855580312503,0.6780923994038748,False
0,4,0,1602.57072645,3.588734567901235,5751.200963517709,4148.630237067709,0.7213502472586539,False
0,4,1,1598.99996198,3.5890295323862684,5738.8580858307405,4150.107831398719,0.7231591667417859,False
0,4,2,1571.19511715,3.5893245211149583,5639.529161442584,4151.585951996204,0.7361582559729568,False
0,4,3,1646.92869652,3.5896195340892967,5911.847420280415,4153.0645990476005,0.7024986106374528,False
0,4,4,1568.27247381,3.5899145713112772,5629.964205516902,4154.543772740412,0.7379343138042158,False
0,4,5,1586.11249885,3.590209632782892,5694.476372048614,4156.02347326221,0.7298341764419441,False
0,4,6,1642.86168563,3.5905047185061347,5898.702634107457,4157.503700800633,0.7048166281109223,False
1,1,0,1598.99996198,1.8333333333333335,2931.499930296667,1332.4999683166668,0.45454545454545453,False
1,1,1,1571.19511715,1.8334840182648406,2880.761136870279,1332.9745573464784,0.46271609967449456,False
1,1,2,1646.92869652,1.8336347155814106,3019.865632026313,1333.4493154079992,0.44155915457511996,False
1,1,3,1568.27247381,1.8337854252840613,2875.875205346958,1333.9242425614323,0.4638324500594948,False
1,1,4,1586.11249885,1.833936147373811,2908.8290454424173,1334.3993388670021,0.4587410666012678,False
1,1,5,1642.86168563,1.8340868818516776,3013.151066310718,1334.8746043849549,0.44301615651131837,False
1,1,6,1647.91110005,1.8342376287186792,3022.6605484949023,1335.3500391755579,0.4417796896977001,False
1,2,0,1598.99996198,1.8333333333333335,2931.499930296667,1332.4999683166668,0.45454545454545453,False
1,2,0,1598.99996198,2.527777777777778,4041.9165705605565,2442.916608580556,0.6043956043956044,False
1,2,1,1571.19511715,2.527985540334856,3971.95853719993,2443.7866884685436,0.6152598687979544,False
1,2,2,1646.92869652,2.5281933199683086,4163.754129005978,2444.657078247998,0.5871281066328516,False
1,2,3,1568.27247381,2.528401116679539,3965.221874038987,2445.5277780292918,0.616744246782405,False
1,2,4,1586.11249885,2.5286089304699515,4010.658229322121,2446.3987879228366,0.6099743852610262,False
1,2,5,1642.86168563,2.5288167613409493,4154.496167185989,2447.270108039083,0.5890654388776869,False
1,2,6,1647.91110005,2.5290246092939364,4167.607725955092,2448.1417384885217,0.5874213456419967,False
1,3,0,1598.99996198,1.8333333333333335,2931.499930296667,1332.4999683166668,0.45454545454545453,False
1,3,0,1598.99996198,2.527777777777778,4041.9165705605565,2442.916608580556,0.6043956043956044,False
1,3,0,1598.99996198,3.106481481481482,4967.263770780463,3368.2638088004637,0.6780923994038749,False
1,3,1,1571.19511715,3.1067368087265352,4881.289704141305,3369.463464403598,0.6902813945963773,False
1,3,2,1646.92869652,3.1069921569573897,5116.994543155697,3370.663547281331,0.658719394530097,False
1,3,3,1568.27247381,3.10724752617577,4873.0107646156775,3371.864057585842,0.6919467697608858,False
1,3,4,1586.11249885,3.1075029163834014,4928.849215888539,3373.064995469366,0.6843514272248421,False
1,3,5,1642.86168563,3.1077583275820087,5105.617084582049,3374.2663610841905,0.6608929547955733,False
1,3,6,1647.91110005,3.1080137597733173,5121.730373838584,3375.468154582659,0.6590483895490279,False
1,4,0,1598.99996198,1.8333333333333335,2931.499930296667,1332.4999683166668,0.45454545454545453,False
1,4,0,1598.99996198,2.527777777777778,4041.9165705605565,2442.916608580556,0.6043956043956044,False
1,4,0,1598.99996198,3.106481481481482,4967.263770780463,3368.2638088004637,0.6780923994038749,False
1,4,0,1598.99996198,3.5887345679012346,5738.386437630386,4139.386475650386,0.721350247258654,False
1,4,1,1571.19511715,3.589029532386268,5639.065676592452,4140.860777682809,0.7343168204036646,False
1,4,2,1646.92869652,3.589324521114958,5911.361554947131,4142.335604809107,0.7007413717305869,False
1,4,3,1568.27247381,3.5896195340892962,5629.50150676292,4143.810957216299,0.7360884355814085,False
1,4,4,1586.11249885,3.589914571311277,5694.008371360556,4145.286835091472,0.7280085600051508,False
1,4,5,1642.86168563,3.5902096327828916,5898.217849078765,4146.763238621779,0.7030535908858397,False
1,4,6,1647.91110005,3.5905047185061343,5916.83258040816,4148.24016799444,0.7010913544740321,False
2,1,0,1571.19511715,1.8333333333333335,2880.5243814416667,1309.3292642916667,0.4545454545454546,False
2,1,1,1646.92869652,1.8334840182648406,3019.6174442911656,1309.7956007419625,0.43376209897655693,False
2,1,2,1568.27247381,1.8336347155814106,2875.6388514687546,1310.2621032846926,0.45564209240512454,False
2,1,3,1586.11249885,1.8337854252840613,2908.5899832520126,1310.7287719790131,0.4506406126426675,False
2,1,4,1642.86168563,1.833936147373811,3012.903430412327,1311.1956068841016,0.43519337315921197,False
2,1,5,1647.91110005,1.8340868818516776,3022.4121310594724,1311.6626080591564,0.4339787398879212,False
2,1,6,1664.7367368,1.8342376287186792,3053.522764548904,1312.1297755633966,0.4297101664991966,False
2,2,0,1571.19511715,1.8333333333333335,2880.5243814416667,1309.3292642916667,0.4545454545454546,False
2,2,0,1571.19511715,2.527777777777778,3971.632101684723,2400.4369845347223,0.6043956043956044,False
2,2,1,1646.92869652,2.527985540334856,4163.411930765093,2401.291934693598,0.5767605931446526,False
2,2,2,1568.27247381,2.5281933199683086,3964.8959921766163,2402.1471893552693,0.6058537712200007,False
2,2,3,1586.11249885,2.528401116679539,4010.3286132717144,2403.0027486281906,0.599203451975415,False
2,2,4,1642.86168563,2.5286089304699515,4154.154729810936,2403.858612620853,0.578663715958952,False
2,2,5,1647.91110005,2.5288167613409493,4167.265211006242,2404.7147814417863,0.5770486541366864,False
2,2,6,1664.7367368,2.5290246092939364,4210.160175362883,2405.5712551995603,0.5713728587516789,False
2,3,0,1571.19511715,1.8333333333333335,2880.5243814416667,1309.3292642916667,0.4545454545454546,False
2,3,0,1571.19511715,2.527777777777778,3971.632101684723,2400.4369845347223,0.6043956043956044,False
2,3,0,1571.19511715,3.1064814814814823,4880.888535220603,3309.6934180706025,0.6780923994038748,False
2,3,1,1646.92869652,3.1067368087265357,5116.574002826697,3310.872212986628,0.647087721424044,False
2,3,2,1568.27247381,3.10699215695739,4872.610276099835,3312.0514277474176,0.6797283673584645,False
2,3,3,1586.11249885,3.1072475261757706,4928.444138288132,3313.2310625025057,0.672267143450537,False
2,3,4,1642.86168563,3.107502916383402,5105.197479309776,3314.4111174014793,0.649222900942431,False
2,3,5,1647.91110005,3.107758327582009,5121.309444295217,3315.5915925939785,0.6474109070459152,False
2,3,6,1664.7367368,3.1080137597733177,5174.024684374532,3316.772488229697,0.6410430352692933,False
2,4,0,1571.19511715,1.8333333333333335,2880.5243814416667,1309.3292642916667,0.4545454545454546,False
2,4,0,1571.19511715,2.527777777777778,3971.632101684723,2400.4369845347223,0.6043956043956044,False
2,4,0,1571.19511715,3.1064814814814823,4880.888535220603,3309.6934180706025,0.6780923994038748,False
2,4,0,1571.19511715,3.588734567901236,5638.602229833837,4067.407112683836,0.721350247258654,False
2,4,1,1646.92869652,3.5890295323862693,5910.875729544703,4068.8557782308194,0.6883676741659787,False
2,4,2,1568.27247381,3.589324521114959,5629.038846035851,4070.3049597408744,0.7230905792393516,False
2,4,3,1586.11249885,3.5896195340892976,5693.540409135148,4071.7546573977684,0.7151533781800751,False
2,4,4,1642.86168563,3.589914571311278,5897.733103892146,4073.2048713853346,0.6906390641341954,False
2,4,5,1647.91110005,3.590209632782893,5916.346305369363,4074.655601887472,0.6887114769109324,False
2,4,6,1664.7367368,3.5905047185061356,5977.2451085509065,4076.1068490881444,0.6819373766782563,False
3,1,0,1646.92869652,1.8333333333333335,3019.3692769533336,1372.4405804333333,0.4545454545454545,False
3,1,1,1568.27247381,1.8334840182648406,2875.402517015301,1372.9293948866384,0.4774738099317497,False
3,1,2,1586.11249885,1.8336347155814106,2908.3509407089405,1373.418383438242,0.47223268836444376,False
3,1,3,1642.86168563,1.8337854252840613,3012.655814865899,1373.9075461501516,0.45604530705785506,False
3,1,4,1647.91110005,1.833936147373811,3022.163734040236,1374.396883084397,0.4547724756285818,False
3,1,5,1664.7367368,1.8340868818516776,3053.271810701449,1374.8863943030296,0.4502993770433978,False
3,1,6,1668.48530208,1.8342376287186792,3060.3985240391885,1375.376079868124,0.44941077740844976,False
3,2,0,1646.92869652,1.8333333333333335,3019.3692769533336,1372.4405804333333,0.4545454545454545,False
3,2,0,1646.92869652,2.527777777777778,4163.069760647778,2516.141064127778,0.6043956043956045,False
3,2,1,1568.27247381,2.527985540334856,3964.5701370968545,2517.0372239588373,0.6348827582608979,False
3,2,2,1586.11249885,2.5281933199683086,4009.999024310812,2517.9337029701105,0.627913794418656,False
3,2,3,1642.86168563,2.528401116679539,4153.813320496922,2518.830501275278,0.6063899137802249,False
3,2,4,1647.91110005,2.5286089304699515,4166.922724206992,2519.7276189880613,0.6046974675940484,False
3,2,5,1664.7367368,2.5288167613409493,4209.8141632398765,2520.6250562222217,0.598749721123639,False
3,2,6,1668.48530208,2.5290246092939364,4219.640389205548,2521.522813091561,0.5975681765540927,False
3,3,0,1646.92869652,1.8333333333333335,3019.3692769533336,1372.4405804333333,0.4545454545454545,False
3,3,0,1646.92869652,2.527777777777778,4163.069760647778,2516.141064127778,0.6043956043956045,False
3,3,0,1646.92869652,3.106481481481482,5116.153497059815,3469.224800539815,0.6780923994038749,False
