date_eth_volume,price_eth,market_cap_eth_volume,volumes_last_24h_eth_volume,deposits_volume_v3_eth_daily_deposits_borrows,borrows_volume_v3_eth_daily_deposits_borrows,deposits_volume_v3_usdc_daily_deposits_borrows,borrows_volume_v3_usdc_daily_deposits_borrows,avg_stableBorrowRate_eth_rates,avg_variableBorrowRate_eth_rates,avg_supplyRate_eth_rates,avg_liquidityIndex_eth_rates,avg_variableBorrowIndex_eth_rates,avg_stableBorrowRate_usdc_rates,avg_variableBorrowRate_usdc_rates,avg_supplyRate_usdc_rates,avg_liquidityIndex_usdc_rates,avg_variableBorrowIndex_usdc_rates,price_usdc,market_cap_usdc_volume,volumes_last_24h_usdc_volume,weekly_change_eth,weekly_change_usdc,min_price_next_7_days_eth,min_price_next_7_days_usdc,moving_average_7_price_eth,moving_average_14_price_eth,moving_average_21_price_eth,moving_average_30_price_eth,moving_average_7_volume_eth,moving_average_14_volume_eth,moving_average_21_volume_eth,moving_average_30_volume_eth,moving_average_7_mc_eth,moving_average_14_mc_eth,moving_average_21_mc_eth,moving_average_30_mc_eth,deposits_volume_v3_eth_daily_deposits_borrows_ma_7,deposits_volume_v3_eth_daily_deposits_borrows_ma_14,deposits_volume_v3_eth_daily_deposits_borrows_ma_21,deposits_volume_v3_eth_daily_deposits_borrows_ma_30,borrows_volume_v3_eth_daily_deposits_borrows_ma_7,borrows_volume_v3_eth_daily_deposits_borrows_ma_14,borrows_volume_v3_eth_daily_deposits_borrows_ma_21,borrows_volume_v3_eth_daily_deposits_borrows_ma_30,deposits_volume_v3_usdc_daily_deposits_borrows_ma_7,deposits_volume_v3_usdc_daily_deposits_borrows_ma_14,deposits_volume_v3_usdc_daily_deposits_borrows_ma_21,deposits_volume_v3_usdc_daily_deposits_borrows_ma_30,borrows_volume_v3_usdc_daily_deposits_borrows_ma_7,borrows_volume_v3_usdc_daily_deposits_borrows_ma_14,borrows_volume_v3_usdc_daily_deposits_borrows_ma_21,borrows_volume_v3_usdc_daily_deposits_borrows_ma_30,avg_stableBorrowRate_eth_rates_ma_7,avg_stableBorrowRate_eth_rates_ma_14,avg_stableBorrowRate_eth_rates_ma_21,avg_stableBorrowRate_eth_rates_ma_30,avg_variableBorrowRate_eth_rates_ma_7,avg_variableBorrowRate_eth_rates_ma_14,avg_variableBorrowRate_eth_rates_ma_21,avg_variableBorrowRate_eth_rates_ma_30,avg_supplyRate_eth_rates_ma_7,avg_supplyRate_eth_rates_ma_14,avg_supplyRate_eth_rates_ma_21,avg_supplyRate_eth_rates_ma_30,avg_liquidityIndex_eth_rates_ma_7,avg_liquidityIndex_eth_rates_ma_14,avg_liquidityIndex_eth_rates_ma_21,avg_liquidityIndex_eth_rates_ma_30,avg_variableBorrowIndex_eth_rates_ma_7,avg_variableBorrowIndex_eth_rates_ma_14,avg_variableBorrowIndex_eth_rates_ma_21,avg_variableBorrowIndex_eth_rates_ma_30,moving_average_7_price_usdc,moving_average_14_price_usdc,moving_average_21_price_usdc,moving_average_30_price_usdc
2023-01-27,1602.57072645,0.0,1191098163.4974024,2134190.673786868,1138875.7176718733,802934.5716121364,722285.3890640944,0.0981147148428361,0.0394340466712441,0.0205767525197601,1.0000160694604918,1.0000297442917143,0.122851279559878,0.097643976332282,0.0814873139970708,1.0000327763889447,1.0000405199399542,1.00086022,43326277770.16066,3168520952.127584,,,1602.57072645,1.00086022,1602.57072645,1602.57072645,1602.57072645,1602.57072645,1191098163.4974024,1191098163.4974024,1191098163.4974024,1191098163.4974024,0.0,0.0,0.0,0.0,2134190.673786868,2134190.673786868,2134190.673786868,2134190.673786868,1138875.7176718733,1138875.7176718733,1138875.7176718733,1138875.7176718733,802934.5716121364,802934.5716121364,802934.5716121364,802934.5716121364,722285.3890640944,722285.3890640944,722285.3890640944,722285.3890640944,0.0981147148428361,0.0981147148428361,0.0981147148428361,0.0981147148428361,0.0394340466712441,0.0394340466712441,0.0394340466712441,0.0394340466712441,0.0205767525197601,0.0205767525197601,0.0205767525197601,0.0205767525197601,1.0000160694604918,1.0000160694604918,1.0000160694604918,1.0000160694604918,1.0000297442917143,1.0000297442917143,1.0000297442917143,1.0000297442917143,1.00086022,1.00086022,1.00086022,1.00086022
2023-01-28,1598.99996198,0.0,1192071662.7823193,10723573.126692813,2903744.4222286455,5819636.356305323,1907160.168547419,0.1132277673875587,0.0539371674508464,0.0317930325461424,1.0000555387021777,1.000112180271345,0.0640146780907806,0.0376374647087681,0.0257564262335422,1.000109082867906,1.0001426664746893,1.00101109,43080116274.41445,3729310439.5408015,,,1598.99996198,1.00086022,1600.785344215,1600.785344215,1600.785344215,1600.785344215,1191584913.1398609,1191584913.1398609,1191584913.1398609,1191584913.1398609,0.0,0.0,0.0,0.0,6428881.90023984,6428881.90023984,6428881.90023984,6428881.90023984,2021310.0699502593,2021310.0699502593,2021310.0699502593,2021310.0699502593,3311285.4639587295,3311285.4639587295,3311285.4639587295,3311285.4639587295,1314722.7788057567,1314722.7788057567,1314722.7788057567,1314722.7788057567,0.1056712411151974,0.1056712411151974,0.1056712411151974,0.1056712411151974,0.046685607061045256,0.046685607061045256,0.046685607061045256,0.046685607061045256,0.02618489253295125,0.02618489253295125,0.02618489253295125,0.02618489253295125,1.0000358040813349,1.0000358040813349,1.0000358040813349,1.0000358040813349,1.0000709622815296,1.0000709622815296,1.0000709622815296,1.0000709622815296,1.0009356550000001,1.0009356550000001,1.0009356550000001,1.0009356550000001
2023-01-29,1571.19511715,0.0,775158363.0135974,10343632.023805937,2692523.7204435854,3379391.8049630756,1987752.471442093,0.0925835818635036,0.0333544027703284,0.0141454956768398,1.0001039643726142,1.0002186733541956,0.0527655439317775,0.02212435145422,0.009989559757238,1.000141936979099,1.000210263078339,1.0002356,43167479981.93234,2474947638.023413,,,1571.19511715,1.0002356,1590.9219351933334,1590.9219351933334,1590.9219351933334,1590.9219351933334,1052776063.0977731,1052776063.0977731,1052776063.0977731,1052776063.0977731,0.0,0.0,0.0,0.0,7733798.608095206,7733798.608095206,7733798.608095206,7733798.608095206,2245047.953448035,2245047.953448035,2245047.953448035,2245047.953448035,3333987.577626845,3333987.577626845,3333987.577626845,3333987.577626845,1539066.0096845354,1539066.0096845354,1539066.0096845354,1539066.0096845354,0.10130868803129946,0.10130868803129946,0.10130868803129946,0.10130868803129946,0.04224187229747297,0.04224187229747297,0.04224187229747297,0.04224187229747297,0.022171760247580764,0.022171760247580764,0.022171760247580764,0.022171760247580764,1.0000585241784279,1.0000585241784279,1.0000585241784279,1.0000585241784279,1.0001201993057516,1.0001201993057516,1.0001201993057516,1.0001201993057516,1.0007023033333333,1.0007023033333333,1.0007023033333333,1.0007023033333333
2023-01-30,1646.92869652,0.0,1083605297.903442,3832134.055746354,3208960.247016633,5314075.52383245,2583679.8386004455,0.0961322779046081,0.0367256640093776,0.0178310769033534,1.000142368045507,1.0003057504591697,0.0537248505235803,0.0297988041886427,0.0182397351767018,1.0001801724170374,1.0002798418635577,1.0006364,43113082734.74294,2890272434.520229,,,1571.19511715,1.0002356,1604.923625525,1604.923625525,1604.923625525,1604.923625525,1060483371.7991903,1060483371.7991903,1060483371.7991903,1060483371.7991903,0.0,0.0,0.0,0.0,6758382.470007993,6758382.470007993,6758382.470007993,6758382.470007993,2486026.0268401843,2486026.0268401843,2486026.0268401843,2486026.0268401843,3829009.564178246,3829009.564178246,3829009.564178246,3829009.564178246,1800219.466913513,1800219.466913513,1800219.466913513,1800219.466913513,0.10001458549962662,0.10001458549962662,0.10001458549962662,0.10001458549962662,0.040862820225449126,0.040862820225449126,0.040862820225449126,0.040862820225449126,0.021086589411523925,0.021086589411523925,0.021086589411523925,0.021086589411523925,1.0000794851451977,1.0000794851451977,1.0000794851451977,1.0000794851451977,1.000166587094106,1.000166587094106,1.000166587094106,1.000166587094106,1.0006858275,1.0006858275,1.0006858275,1.0006858275
2023-01-31,1568.27247381,0.0,1193926680.308405,4452046.691565873,1156431.1683240675,3057500.191781042,2439906.3143670093,0.0932589781446977,0.0339960292374629,0.0146175743070015,1.0001879720139455,1.0004045643983157,0.0534032504627061,0.0272260037016491,0.0151031851138941,1.0002253358203208,1.000359149137655,1.00219434,42731330918.92384,3344857696.2444596,,,1568.27247381,1.0002356,1597.593395182,1597.593395182,1597.593395182,1597.593395182,1087172033.5010333,1087172033.5010333,1087172033.5010333,1087172033.5010333,0.0,0.0,0.0,0.0,6297115.314319569,6297115.314319569,6297115.314319569,6297115.314319569,2220107.055136961,2220107.055136961,2220107.055136961,2220107.055136961,3674707.689698805,3674707.689698805,3674707.689698805,3674707.689698805,1928156.8364042123,1928156.8364042123,1928156.8364042123,1928156.8364042123,0.09866346402864083,0.09866346402864083,0.09866346402864083,0.09866346402864083,0.03948946202785188,0.03948946202785188,0.03948946202785188,0.03948946202785188,0.01979278639061944,0.01979278639061944,0.01979278639061944,0.01979278639061944,1.0001011825189472,1.0001011825189472,1.0001011825189472,1.0001011825189472,1.0002141825549482,1.0002141825549482,1.0002141825549482,1.0002141825549482,1.0009875300000002,1.0009875300000002,1.0009875300000002,1.0009875300000002
2023-02-01,1586.11249885,0.0,832490394.8232452,1839377.7403583275,903454.4762787656,1777953.692400379,608730.7990710005,0.0902941114791446,0.0311794059051874,0.0118278447365737,1.0002221739905262,1.0004889899245757,0.0536354432714981,0.0290835461719854,0.0171331965021499,1.000266520786677,1.0004295029434738,1.00056812,42443689338.95115,2726558290.392685,,,1568.27247381,1.0002356,1595.67991246,1595.67991246,1595.67991246,1595.67991246,1044725093.7214018,1044725093.7214018,1044725093.7214018,1044725093.7214018,0.0,0.0,0.0,0.0,5554159.051992695,5554159.051992695,5554159.051992695,5554159.051992695,2000664.9586605951,2000664.9586605951,2000664.9586605951,2000664.9586605951,3358582.023482401,3358582.023482401,3358582.023482401,3358582.023482401,1708252.496848677,1708252.496848677,1708252.496848677,1708252.496848677,0.09726857193705814,0.09726857193705814,0.09726857193705814,0.09726857193705814,0.03810445267407447,0.03810445267407447,0.03810445267407447,0.03810445267407447,0.01846529611494515,0.01846529611494515,0.01846529611494515,0.01846529611494515,1.0001213477642104,1.0001213477642104,1.0001213477642104,1.0001213477642104,1.0002599837832193,1.0002599837832193,1.0002599837832193,1.0002599837832193,1.0009176283333334,1.0009176283333334,1.0009176283333334,1.0009176283333334
2023-02-02,1642.86168563,0.0,1461715561.3435347,4711458.9371021455,2890025.4261535946,1974614.4213957004,1607304.0121188974,0.0884078718039351,0.0293874782137384,0.010268931790462,1.000252845981265,1.0005738964897302,0.0537425562263558,0.0299404498108463,0.0181621154662398,1.000316232787601,1.0005129508286132,1.00101275,42339805493.066895,3278083642.8647738,,,1568.27247381,1.0002356,1602.42016577,1602.42016577,1602.42016577,1602.42016577,1104295160.5245636,1104295160.5245636,1104295160.5245636,1104295160.5245636,0.0,0.0,0.0,0.0,5433773.321294046,5433773.321294046,5433773.321294046,5433773.321294046,2127716.4540167376,2127716.4540167376,2127716.4540167376,2127716.4540167376,3160872.366041444,3160872.366041444,3160872.366041444,3160872.366041444,1693831.2847444226,1693831.2847444226,1693831.2847444226,1693831.2847444226,0.09600275763232627,0.09600275763232627,0.09600275763232627,0.09600275763232627,0.036859170608312175,0.036859170608312175,0.036859170608312175,0.036859170608312175,0.01729438692573327,0.01729438692573327,0.01729438692573327,0.01729438692573327,1.0001401332237896,1.0001401332237896,1.0001401332237896,1.0001401332237896,1.000304828455578,1.000304828455578,1.000304828455578,1.000304828455578,1.0009312171428573,1.0009312171428573,1.0009312171428573,1.0009312171428573
2023-02-03,1647.91110005,0.0,1799669347.4177315,1463229.7678242987,1350761.0192883136,460695.89403534,335743.5558389583,0.0904529161402699,0.0313302703332564,0.0119609339390205,1.0002868843749964,1.0006646376253217,0.0536967660234073,0.0295741281872588,0.0177122473507875,1.000364470961119,1.0005934405082453,1.00225428,42540250173.261154,4071391033.813354,0.02789944197885755,0.0013928618323945123,1568.27247381,1.0002356,1608.8973619985716,1608.106532555,1608.106532555,1608.106532555,1191233901.0846107,1191216933.8862097,1191216933.8862097,1191216933.8862097,0.0,0.0,0.0,0.0,5337921.763299392,4937455.377110327,4937455.377110327,4937455.377110327,2157985.782819086,2030597.0246756847,2030597.0246756847,2030597.0246756847,3111981.126387615,2823350.3070406807,2823350.3070406807,2823350.3070406807,1638611.0228551177,1524070.3186312397,1524070.3186312397,1524070.3186312397,0.0949082149605311,0.09530902744581922,0.09530902744581922,0.09530902744581922,0.03570148827431393,0.0361680580739302,0.0361680580739302,0.0361680580739302,0.01606355569991333,0.016627705302394175,0.016627705302394175,0.016627705302394175,1.0001788210687188,1.0001584771176906,1.0001584771176906,1.0001584771176906,1.0003955275032363,1.000349804601796,1.000349804601796,1.000349804601796,1.0011303685714286,1.0010966,1.0010966,1.0010966
2023-02-04,1664.7367368,0.0,1397366714.739256,12543788.013319535,13183407.939065233,1769731.0197461955,1602246.2852508817,0.0973867846477825,0.0379174454153934,0.01921405837332,1.0003233631079451,1.000749889974058,0.053659524793177,0.0292761983454163,0.017397101954905,1.00040989187541,1.0006696007411395,1.00025509,41979649585.07855,3476605921.1086936,0.040288584820256816,-0.0007552363880403951,1568.27247381,1.0002356,1618.28832983,1614.398777471111,1614.398777471111,1614.398777471111,1220561765.6498873,1214122465.0921037,1214122465.0921037,1214122465.0921037,0.0,0.0,0.0,0.0,5597952.461388924,5782603.447800239,5782603.447800239,5782603.447800239,3626509.14236717,3269798.237385635,3269798.237385635,3269798.237385635,2533423.221164883,2706281.4973412934,2706281.4973412934,2706281.4973412934,1595051.896669898,1532756.5371445334,1532756.5371445334,1532756.5371445334,0.09264521742627736,0.09553988935714847,0.09553988935714847,0.09553988935714847,0.0334129565549635,0.036362434445203894,0.036362434445203894,0.036362434445203894,0.014266559389510127,0.016915077865830377,0.016915077865830377,0.016915077865830377,1.0002170816981142,1.0001767977832743,1.0001767977832743,1.0001767977832743,1.0004866288893381,1.0003942585320473,1.0003942585320473,1.0003942585320473,1.0010223685714286,1.001003098888889,1.001003098888889,1.001003098888889
2023-02-05,1668.48530208,0.0,972249941.897388,20131398.971724723,2056473.626137184,1039069.5638936558,2653798.032581167,0.0923040549585997,0.0330888522106697,0.0139696131139407,1.0003771030211708,1.000857359232456,0.0538122201153707,0.0304977609229657,0.0188557914899868,1.0004657095427605,1.000760811197113,1.00219615,42029296086.85138,2333361391.72617,0.06007965921543845,0.0019600882032194938,1568.27247381,1.00025509,1632.1869276771429,1619.807429932,1619.807429932,1619.807429932,1248717705.490429,1189935212.7726321,1189935212.7726321,1189935212.7726321,0.0,0.0,0.0,0.0,6996204.882520179,7217483.000192687,7217483.000192687,7217483.000192687,3535644.8431805414,3148465.7762607895,3148465.7762607895,3148465.7762607895,2199091.4724406805,2539560.30399653,2539560.30399653,2539560.30399653,1690201.2625469086,1644860.6866881966,1644860.6866881966,1644860.6866881966,0.09260528501129107,0.0952163059172936,0.0952163059172936,0.0952163059172936,0.03337502076072654,0.03603507622175047,0.03603507622175047,0.03603507622175047,0.014241433309095972,0.01662053139064141,0.01662053139064141,0.01662053139064141,1.0002561015050508,1.000196828307064,1.000196828307064,1.000196828307064,1.0005778697290897,1.000440568602088,1.000440568602088,1.000440568602088,1.001302447142857,1.001122404,1.001122404,1.001122404
